[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 已经透露出一些好消息
[00:31] 原油价格在大幅回落
[00:33] 它都无法让目前的晶片股的沉压
[00:35] 能够稍微释怀
[00:36] 是否意味着市场
[00:38] 针对未来的资本支出预期
[00:40] 开始有所松动了呢
[00:42] 毕竟过去我们的利润
[00:43] 一直都是科技巨头花他的
[00:45] 但是呢
[00:46] 重点在于卖产值的钱
[00:48] 终究能够赚到
[00:49] 如果连晶片股都跳水
[00:51] 它到底反映的是
[00:52] 更多的估值回调
[00:53] 和获利了结卖压
[00:55] 还是反映的
[00:56] 其实是大家预估
[00:57] 未来的资本支出
[00:58] 不会再调高了呢
[01:00] 难道接下来的微软
[01:01] Meta所公布的资本支出
[01:03] 不会像特斯拉和Google一样
[01:05] 继续调高吗
[01:06] 今天来跟投资朋友
[01:07] 做系统性的整理
[01:09] 毕竟这一次我们看到苹果
[01:11] 终于隔了几个月
[01:12] 重返了全球市值王
[01:14] 重返的原因
[01:15] 不是因为市值
[01:16] 膨胀得有多快速
[01:17] 苹果股价今年表现算不错了
[01:19] 但重点来自于
[01:20] 辉达遭遇了极大的卖压
[01:22] 股价这一次是重挫了4.99%
[01:25] 市值降到4.7兆
[01:27] 苹果则是小幅上涨1.17%来到4.95兆
[01:31] 所以这是2025年4月份以来
[01:34] 首次重新夺回全球市值的第一宝座
[01:37] 市场的焦点当然现在就转向本周的超级财报走
[01:41] 尤其是苹果即将公布的财报
[01:43] 到底苹果现在是调高资本支出好
[01:45] 多研发一点AI好
[01:47] 还是什么都不投更好呢
[01:49] 从股价上来做反应
[01:50] 上礼拜从Google和特撒的财报都显示
[01:53] AI资本支出的持续攀升
[01:55] 自由现金流遭受沉压
[01:57] 会让投资人开始检视
[01:59] AI投资是否能够带来足够的回报
[02:01] 那苹果呢
[02:03] 这几年采用的是租用AI算力
[02:05] 而并不是大幅的自建资料中心
[02:08] 这样的一个策略
[02:08] 今年股价它涨了两成四
[02:10] 也算是很不错
[02:11] 明显比辉达
[02:13] 辉达今天涨幅才大概4%左右吧
[02:16] 再跌一根今年就付报酬了
[02:18] 所以市场的资金
[02:20] 在未来一段时间
[02:21] 如果是晶片股的持续性下杀
[02:24] 搭配着科技巨头的下杀
[02:26] 那当然就会让大家去担心资本支出
[02:28] 是否在未来几个季度要被迫松动
[02:31] 当然如果是晶片股继续涨
[02:33] 科技巨头卖压沉重
[02:34] 代表的是大家要求把钱花在刀口
[02:37] 那同样的
[02:38] 如果双方就在软硬体股当中持续做轮动
[02:41] 就代表着市场的叙事仍然在持续对赌当中
[02:45] 毕竟这次辉达正在推动总规模超过
[02:48] 7500亿美元的AI基础建设合作计划
[02:52] 包括SK集团
[02:53] 价值大概是5000亿美元的AI资料中心
[02:57] 以此来协助OpenAI
[02:59] 成诸软银在美国的Ohio的新建
[03:01] 总投资也差不多有5000亿美元
[03:03] 10GW的超大型资料中心
[03:06] 那辉达这一次除了考虑提供超过2500亿美元
[03:10] 来做主任的担保
[03:12] 还讨论OpenAI采购3500亿美元的辉达的AI晶片
[03:17] 直接进行融资
[03:18] 如果交易完成
[03:19] 这代表的
[03:20] 那辉达就不只是晶片供应商了
[03:22] 它未来也变成客户的重要金主
[03:25] 所以一系列的投资过程
[03:28] 让大家意识到
[03:29] 辉达虽然是卖产值的
[03:30] 但他花的钱也真的不少
[03:32] 从对于OpenAI
[03:34] 或者微软进一步的融资计划
[03:36] 同时间
[03:37] 辉达也宣布要投资10亿美元
[03:40] 协助韩国的Neva
[03:41] 扩建AI资料中心
[03:43] 就是每次我们去韩国
[03:45] 被迫要用的那个地图
[03:47] 因为韩国Google Map不好用
[03:48] 今年也公开宣布
[03:50] 整体的投资相关规模
[03:52] 其实已经超过到5400亿
[03:54] 如果加上OpenAI刚才提到的新合作
[03:56] 那搞不好已经接近到7500亿了
[03:59] 所以市场上当然又会担心
[04:01] 这一波融资循环是不是又玩回来了
[04:04] 就是挥达投资
[04:05] 然后做担保
[04:06] 做融资给客户
[04:08] 那客户呢
[04:09] 在购买挥达的晶片跟算力圣杯
[04:11] 那去年9月到10月
[04:13] 这一套游戏
[04:14] 的确让市场上非常兴奋
[04:16] 可是这一次再提出这样的一个叙事
[04:19] 市场就有点不买单了
[04:20] 那重点是
[04:21] 那AI到底是否有达到显著的算力
[04:25] 或者生产力的显著提升
[04:27] 因为这一次我们看到
[04:28] 跟OpenAI的融资案2500亿
[04:31] 其实等同于差不多有10座大型核反应炉的发电规模
[04:36] 那预估在2028年就会启用
[04:38] 那代表时间线也不过一到两年
[04:41] 你建完了
[04:42] 到时候如果算力过剩
[04:44] 市场上当然会予以紧张
[04:45] 当然微软这一次在财报之前
[04:48] 所透出的论调
[04:49] 那就非常明显了
[04:50] 微软似乎已经在暗示
[04:52] 目前的AI算力显著不足
[04:54] 正在考虑扩大像亚马逊
[04:56] AWS或者Google Cloud
[04:58] 竞争对手来租用云端算力
[05:01] 如果你真的算力缺到
[05:03] 还要跟竞争对手来借
[05:04] 其实也就意味着
[05:06] 那看起来
[05:08] 只要距离没有算力过剩的一天到来
[05:11] 那这场游戏
[05:12] 看起来更类似于固执回调
[05:14] 当然这是我的看法
[05:15] 你像现在365,Copilot或者GitHub
[05:18] 这些AI的服务
[05:19] 尽管微软资本支出
[05:21] 今年大概已经高达1900亿了
[05:23] 创下历史新高
[05:24] 但是市场普遍预估
[05:26] 在本次财报
[05:27] 它就急要透露出
[05:28] 它被迫要跟竞争对手来买算力
[05:30] 如果对外租用算力
[05:32] 那不仅是有利于亚马逊
[05:34] 有利于Google
[05:35] 有没有可能扭转出
[05:36] 这一次财报的下压情绪呢
[05:39] 就让大家意识到
[05:40] 原来你缺到这种地步
[05:41] 那我好像有点错怪
[05:43] 现在的算力需求了
[05:44] 事实上我们过去提过
[05:46] 从资本支出面
[05:47] 本季度我认为根本就看不到
[05:48] 任何一家资本支出有下调
[05:51] 现在chicken game
[05:52] 游戏还在玩
[05:53] 即便自由现金流已经转负
[05:55] 也没有一家敢要退出的
[05:56] 一退出
[05:57] 我觉得第一个反应不是说
[06:00] 这一场AI游戏玩不下去了
[06:02] 第一个退出的肯定是怀疑
[06:04] 你为什么退出
[06:05] 你是不是竞争不过chick gbt
[06:08] 你是不是竞争不过gmline
[06:10] 一定是这样想的
