[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 针对访问过程当中
[00:31] 针对建厂时间耗时过久
[00:33] 所造成的产能冲击
[00:35] 不过我们也清楚知道
[00:36] 因为标普白指数
[00:37] 上礼拜才刷下历史新高
[00:39] 就算本周拉回休息一下
[00:41] 也是很正常的
[00:42] 重点还是观察
[00:44] 当前30年期和10年期
[00:46] 国债殖利率的上涨情况
[00:47] 30年期国债殖利率
[00:49] 目前还在一年期的高点
[00:51] 10年期国债殖利率
[00:52] 也维持在高档
[00:53] 那其实也意味着
[00:54] 市场上针对常债的压力
[00:57] 开始逐步涌现
[00:58] 一方面当然是通膨预期的升温
[01:00] 可是另外一方面
[01:01] 我们要知道
[01:02] 现在全球除了少数欧美市场以外
[01:05] 大部分的新市场都在进行高强度的油价补贴
[01:09] 日本也补贴
[01:10] 台湾也补贴
[01:11] 韩国也补贴
[01:12] 日本长天期国债值利率同样在攀升
[01:14] 意味着全球的债务压力开始增大了
[01:17] 因为你原油价格上涨了
[01:20] 你不想要让民间感受到
[01:22] 那政府的举债肯定就要必须往上拉
[01:24] 那根据川普最新的说法
[01:26] 目前他打算把战争按钮放到最后一秒
[01:30] 整体而言
[01:31] 他在几个小时之前发了一篇to social
[01:34] 聊到说美国原本已经进入了实质的攻击倒数阶段
[01:39] 那现在不是单纯嘴巴警告
[01:40] 而是连攻击时间点都已经确定了
[01:43] 他在里头提到说
[01:44] 只是因为在卡达和沙乌地阿拉伯
[01:47] 还有阿联等中东盟友的出面协调底下
[01:50] 本来暂定在今天要采取的一系列攻击行动
[01:54] 稍微市场上和缓一点
[01:57] 所以我们并没有采取大规模攻击
[01:59] 但川普也持续强调
[02:01] 如果接下来
[02:02] 美国跟伊朗的谈判过程当中
[02:04] 再失败的话
[02:05] 美军会立刻展开大规模攻击
[02:08] 等于把最后通牒摊在台面上
[02:11] 好像有好几次最后通牒了
[02:13] 我数123
[02:14] 你不理我
[02:16] 那我就再数一次
[02:17] 你触碰到我的底线
[02:19] 我就后退一步
[02:20] 所以可以观察一下
[02:22] 那当然这次是中东国家按照他的说法
[02:25] 是中东国家希望不要引起进一步的冲突
[02:28] 一旦美伊引发新因为现在算对峙
[02:31] 一旦美伊全面再度开战
[02:34] 那第一个被炸的通常也不是美军
[02:36] 第一个被炸的就是中东的油气设施
[02:39] 那现在能源已经很紧绷
[02:41] 所以市场上虽然看起来还算是平静
[02:43] 但所有人都知道问题不是说会不会打
[02:46] 而是那什么时候又要重新失控了呢
[02:49] 川普现在的做法
[02:50] 也越来越像典型的极限施压
[02:52] 把军事的威胁推到高点
[02:54] 那把对方逼回谈判座
[02:56] 那问题在于
[02:57] 我们其实知道
[02:58] 这件事情是有点困难的
[03:00] 已经过了几个月了
[03:01] 川普也一直过去抱怨
[03:03] 鲍尔不升席
[03:04] 不降席
[03:04] 结果现在换来了一个
[03:06] 搞不好年底要升席的联总会主席
[03:08] 这就是来自于伊朗战事的冲突
[03:11] 那现在全球能源危机
[03:12] 也正在逼临真正的临界点
[03:14] 主要是原因是因为
[03:16] 过去我们提过
[03:16] 这个中东危机的恶化
[03:19] 这过往的认知
[03:20] 那就是造成油价的上涨
[03:22] 可是当油价上涨到一定程度
[03:24] 尤其供给缺口补不起来以后
[03:26] 那就是缺油的问题了
[03:28] 而不是单纯油价的上涨
[03:30] 而是买不到足够的油
[03:32] 现在全球有80个国家
[03:33] 已经正式启动紧急经济措施
[03:36] 试图去应对油价飙升
[03:38] 和燃料短缺的风险
[03:39] 那最担心的就是
[03:41] 因为中东国家的出口
[03:42] 现在每天的缺口
[03:44] 其实还是高达600万桶左右
[03:46] 甚至有些人认为
[03:47] 预估可能会接近900万桶
[03:49] 其实现在各国都已经开始陆续在进行战略储备的消耗
[03:53] 美国也是
[03:54] 中国也是如此
[03:55] 但很多紧急的试油措施
[03:57] 大概到7月中旬左右就很紧绷了
[04:00] 那可能就会库存见底
[04:02] 那库存是不可能见底的
[04:03] 因为你见底大多数的基础建设基础设施就无法做使用了
[04:07] 所以欧洲也警告
[04:08] 如果荷姆兹海峡无法重启的话
[04:10] 那全球在下半年
[04:12] 尤其是新兴市场的冲击压力就很大了
