[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 之前一度飙到110接近120
[00:32] 随后也迅速回落
[00:34] 现在回到80多美元每桶了
[00:36] 那这样子回过头来看
[00:39] 从高点跌下来
[00:40] 也有跌个三成左右
[00:41] 所以其实单日振幅相当大
[00:44] 那早盘因为中东局势而升温的条件
[00:47] 川普所释出的谈话
[00:49] 是否真实反映在数据上呢
[00:51] 邮轮真的已经顺势通过了吗
[00:54] 今天来跟投资朋友做一些观察
[00:56] 事实上这一次川普
[00:57] 主要是在论坛上释出
[00:59] 针对石油采取进一步利多刺激的做法
[01:03] 一方面伊朗战事在他的领导之下很快就会结束
[01:07] 另外一方面他也透露
[01:08] 目前正在考虑放宽部分的石油相关制裁
[01:12] 那很明显可能在暗指针对俄罗斯原油
[01:15] 有进一步的供给增加
[01:17] 同时间也会让美国海军来尝试的护航
[01:21] 通过荷姆斯海峡以稳定全球能源市场
[01:25] 尤其在油价剧烈波动和通膨升高底下
[01:28] 川普政府已经强调了
[01:30] 我们是在寻求尽可能的去压低能源价格
[01:34] 压低能源价格是本届政府的重要政策
[01:38] 他同时也警告
[01:39] 如果伊朗还要尝试的去干扰全球的石油供应
[01:43] 美国还是会以更强烈的军事行动来做回应
[01:46] 等同于不卑不亢
[01:48] 一方面对于伊朗的沉压
[01:50] 伊朗的态度还是相当明确
[01:52] 对于核设施的态度
[01:54] 另外一方面对于原油价格的打击
[01:56] 他也向市场传递了讯号
[01:58] 尤其他在记者会上也表示
[02:00] 美军这一次的行动进展远远快于预期
[02:03] 已经打击超过5000个目标
[02:06] 使伊朗的飞弹能力降到原本的10%
[02:09] 无人机的发射量目前已经下滑了83%
[02:12] 他也承认说战事的确还没有完全结束
[02:15] 但是至少我们在寻求结束冲突的讯号
[02:19] 也就是说如果伊朗愿意和谈
[02:21] 接下来这段时间就是和谈起了
[02:24] 让市场有进一步的想象空间
[02:26] 那当然除此之外
[02:27] 现在G7也正在讨论
[02:30] 是否要进行战略石油储备的释放
[02:32] 七大工业国这一次的紧急石油储备会议
[02:36] 基本上也就意味着
[02:37] 随时都有可能短期内释出大量供给
[02:41] 如果要有效的去压低油价
[02:44] 大概要释放3亿到4亿桶石油
[02:47] 那IEA目前成员国当中
[02:50] 大概有12亿战略储备
[02:53] 那等同于你把四分之一给放出来
[02:55] 原油价格应该就会遭受到剧烈打击
[02:58] 甚至不用这么多
[02:59] 你只要稍微谈话
[03:00] 准备考虑这么做
[03:02] 对原油价格也是一度的成压
[03:04] 所以事实上我们看布兰特原油和西德州原油
[03:07] 在昨天都留了一根上影线
[03:10] 这个算是避雷针
[03:13] 我打得真的很深
[03:14] 你看从120块打到100块
[03:16] 很大一根
[03:17] 后来价格又快速有效的压回
[03:20] 布兰特原油最高煤桶曾经冲高到119.5块
[03:25] 西德州也从今冲高到119.4块
[03:28] 这个都是2022年6月份以来的新高
[03:30] 但这一次不管是美国
[03:32] 还是俄罗斯讨论放宽
[03:34] 针对俄罗斯能源制裁消息之后
[03:37] 市场的情绪很明显的迅速的反转
