[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 市场上更进一步关注的是由过去废办带头冲高的龙井
[00:35] 是否能够成功的从硬体股往软体股来进行投放
[00:39] 那纳斯达克指数这一波盘整期其实很久
[00:42] 早在去年10月份就已经见到相对高点
[00:46] 之后打了一个M头盘整了两个季度左右
[00:51] 现在创下历史新高
[00:52] 与此同时标普派指数也是今年第五次创下的历史新高
[00:57] 道琼反而小幅落后
[00:58] 主要还是受到川餐股或者能源股的拖累
[01:01] 在这样的一个效果底下
[01:03] 市场是否在战争还没有结束的时候
[01:06] 已经开始庆祝战争结束了呢
[01:08] 至少我们看到在过去两周
[01:11] 市场的恐慌抛售已经变成了被迫追高
[01:14] 最核心的变化就是从强制卖出变成强制买进
[01:18] 标普牌指数这一次创下历史新高
[01:20] 我们看波动率指数VIX指数的大幅回落
[01:23] 代表的是恐慌指数正在快速的压缩
[01:26] 市场从避险模式瞬间切回到追价模式
[01:29] 那更关键的是CTF
[01:31] 量化趋势资金
[01:32] 现在是被迫买入
[01:33] 由于讯号动能
[01:35] 价格上涨以后被迫开始追高
[01:37] 出现了极端的买入讯号
[01:39] 我们预估在短期内会加码数百亿美元
[01:42] 那这是属于城市单
[01:44] 也就是机械式的资金
[01:45] 因为创高了
[01:46] 被迫一定要全面停省空单回补
[01:49] 这个时候就不是单纯看基本面在短期内的好坏
[01:52] 而是价格它越涨它就要买的越多
[01:55] 但问题也在这边
[01:56] 就是市场上
[01:57] 你说真的现在变得非常非常乐观吗
[01:59] 我们知道中东战士
[02:01] 还是牵制着部分投资人的市场情绪
[02:04] 只是部位还没有回来
[02:06] 我们看选择权的多头部位
[02:08] 仍然在历史的低位
[02:09] 其实很多人有上车
[02:12] 但是也没有上够
[02:13] 这个是大部分人主流的思考
[02:15] 买了一点
[02:16] 没买够
[02:17] 那才跌一个月怎么够呢
[02:19] 原本预估要回调一个季度的
[02:21] 只是指数先被资金给推上去
[02:24] 然后逼空
[02:25] 接着逼追价
[02:26] 最后才让市场
[02:27] 看起来好像牛市回来了
[02:29] 最近我们看到像是白银
[02:30] 或者比特币的这类资产
[02:32] 也开始出现了那一些补涨条件
[02:35] 代表资金正在找
[02:37] 找什么
[02:37] 找本益比还偏低的
[02:39] 找还没有被买满的地方
[02:41] 简单来讲
[02:41] 市场上在短期内
[02:43] 是属于我们讲的空头回补行情
[02:46] 那当然
[02:46] 接下来的财报系的挑战
[02:48] 它就可以引起新一波的
[02:50] 本梦比的拉伸
[02:51] 当然
[02:52] 刚才跟投资朋友提到
[02:54] 现在的CTA买盘成立的前提
[02:57] 基本上是低波动
[02:58] 只要市场的单日波动重新放大
[03:01] 比如说油价在飙升
[03:02] 战士在升级
[03:03] 它当然有可能会变成反向卖压
[03:06] 但是一旦波动率变低以后
[03:08] 看起来这些资金
[03:10] 大量的去寻找那些
[03:11] 还没有轮动到的股市
[03:13] 或者是相关资产来进行补账
[03:16] 那我们如果回过头来看
[03:17] 这一次的中东战事
[03:19] 对于市场的影响
[03:20] 看起来就非常的标准化了
[03:22] 我们过去跟投资朋友聊过
[03:24] 通常战事对于股市的冲击
[03:27] 对于经济冲击
[03:28] 或者说对于整场战事冲击
[03:30] 有的打一年
[03:32] 有的打两年
[03:32] 有的打了十年都还没结束
[03:34] 可是无一例外
[03:36] 不讲无一例外
[03:37] 大部分的实证结果表示
[03:39] 通常市场的最极端的情绪反应
[03:42] 会在一个月内左右
[03:43] 反应到最极端
[03:45] 这一次
[03:46] 好了时间稍微长了一点点
[03:48] 这次跌幅稍微重了一点点
