[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 千军万马来相见
[00:31] 居然一次反弹可以创下历史新高
[00:34] 纳斯达克指数在昨天也上扬了2.8%
[00:37] 道琼指数在昨天狂飙了1300点
[00:40] 这个都是过去一年来的最佳表现
[00:42] 代表的是三月份的跌幅已经逐步被收复
[00:46] 甚至直接创下历史新高
[00:47] 当然双方目前所达成的停火协议
[00:51] 是否只包含美伊或者美伊之间
[00:55] 毕竟在昨天
[00:56] 阿拉伯世界又遭受到了新一轮的袭击
[00:59] 在这样效果底下
[01:00] 市场仍然充满着不确定性
[01:02] 只不过油价回跌幅度
[01:04] 虽然并没有想象中来得大
[01:06] 一次跌了11到13%
[01:08] 布兰特原油来到96块每桶
[01:10] 西德州原油来到95块
[01:12] 可是问题在于
[01:14] 仍然相对于当时的战事爆发点
[01:17] 有一段距离
[01:18] 但是股票市场
[01:19] 费办却提前先创高了
[01:21] 足以彰显着市场的乐观情绪
[01:23] 事实上费办这种涨法
[01:25] 就算你看对趋势
[01:27] 也可能实在波动
[01:28] 所以我们才讲说
[01:29] 有时候面对这种外部性地缘政治冲突
[01:32] 已不变应万变
[01:33] 如果真的价格叠得稍微凶了一点
[01:35] 也许就有情绪恐惧时贪婪减贫的时候
[01:39] 在这样的一个效果底下
[01:41] 外部性冲击始终要把它视为一个机会点
[01:44] 而并不是危机
[01:45] 不过回过头来说
[01:46] 这一次白宫虽然宣布和伊朗直接谈判
[01:49] 而且是由副总统J.D. Vance率团前往伊斯坦堡
[01:53] 但是现在问题是战火根本没有停下来的迹象
[01:57] 因为以色列在昨天又继续轰炸了黎巴嫩
[02:00] 打击真主党
[02:01] 那伊朗直接指控这已经违反停火条件
[02:04] 好那问题来了
[02:04] 那到底本次的停火条件
[02:06] 包不包含以色列去打黎巴嫩
[02:09] 包不包含伊朗去打沙乌地阿拉伯
[02:12] 还是双方已经说好了
[02:14] 美伊之间或者美伊之间不会有进一步冲突
[02:18] 可是呢其他国家可以打
[02:20] 好这就变成了市场上一边
[02:22] 美国不能够停火
[02:24] 或者说美国已经停火了
[02:26] 但是一边好像又默许以色列开战
[02:28] 伊朗高层也直言
[02:29] 如果在这样的一个情况下继续谈判
[02:32] 那是不合理的
[02:33] 考虑再度封锁荷姆治海峡
[02:35] 不过只是考虑
[02:36] 也没有具体全面重新封锁
[02:38] 所以美方内部的讯号也相当反复
[02:40] 市场层面也在反映这种
[02:42] 不确定性当中的乐观
[02:44] 停火消息一度让油价暴跌了17%
[02:47] 但是实质上就目前为止
[02:49] 还是有800艘的船卡在波斯湾不太感动
[02:52] 供应链还是处于半瘫痪的阶段
[02:55] 只有少数亚洲船只陆续通过
[02:57] 那当然现在中东还在打以后
[03:00] 川普政府也对外宣称
[03:02] 目前已经取得了压倒性的胜利
[03:04] 而且表示已经摧毁伊朗大部分的军工体系
[03:07] 同时强调美军仍然会持续驻留
[03:10] 随时准备再开战
[03:11] 那当然这一次沙乌地重要的东西游
[03:14] 管线被无人机攻击
[03:16] 是市场上特别担忧的一个讯号
[03:19] 为什么呢
[03:19] 我们当时看到波斯湾被封住以后
[03:22] 基本上大量的缘由就是由东岸
[03:24] 往西岸的盐布港来进行运送
[03:27] 那如果这条油管现在遭受冲击
[03:30] 那其实就意味着
[03:31] 沙乌地的输油命脉也被打了
[03:33] 这条管线很长
[03:35] 有1200公里
[03:36] 原本就是在荷姆斯海峡几乎封锁之后
[03:39] 沙乌地阿拉伯最后的命脉
[03:42] 但这一次攻击
[03:43] 它只是其中一个拱站
[03:44] 你要知道这么长的管线
[03:46] 伊朗想要打其实就可以打了
[03:48] 因为实在太长了
[03:50] 太容易随便打到一个管线
[03:51] 就造成东西向的运管线
[03:54] 全面崩坏
[03:55] 那虽然目前评估整体运作
[03:57] 没有完全的断掉
[03:58] 可是市场上会持续担心
[04:00] 现在是美伊双方不打了
[04:02] 但没有说不能打黎巴嫩
[04:04] 没有说不能打沙乌地阿拉伯
[04:06] 那当然就伊朗的逻辑来看
[04:08] 你把管线炸了
[04:09] 那大家才可以继续走荷姆兹
[04:11] 那到时候才能够掌握邮轮费
[04:13] 所以在这样的一个效果底下
[04:15] 整个中东的停火
[04:17] 还是陷入了动荡
[04:18] 战火还没有停
[04:19] 但是市场上已经先震荡了
[04:21] 保安可以让人打了又打了又打吗
[04:23] 看起来双方就是允许这样的一个情况
[04:25] 事实上在昨天
[04:27] 以色列对黎巴嫩的空袭当中
[04:29] 也造成了一个晚上
[04:30] 黎巴嫩有250人死亡
[04:32] 700多人受伤
[04:34] 所以伊朗可能也是
[04:35] 由于现在已经在停火期
[04:37] 那我不打你美国
[04:38] 我打你邻国的盟国的管线可以吧
[04:41] 反正他又没有签协议
[04:43] 那在这样的一个效果底下
[04:44] 我们看昨天
[04:45] 法国反而产生了一定的动作
[04:48] 这一次马克宏在推特上表示
[04:50] 他已经跟黎巴嫩总统同国化
[04:53] 并且向黎巴嫩表达法国的全面支持
[04:55] 这就很有趣了
[04:56] 法国居然表态全面支持黎巴嫩
[04:59] 而且谴责以色列
[05:01] 在这样效果底下
[05:02] 我们看昨天巴基斯坦的总理
[05:04] 这一次的牵线人
[05:06] 在昨天由于各大地区出现了违反停火的情况
[05:09] 他呼吁各方保持克制
[05:12] 而且把川普
[05:13] 把J.D. Vance
[05:15] 把卢比欧
[05:16] 所有美国的政府官员全部都标记
[05:18] 标注他
[05:19] 希望他来看他的贴文
[05:20] 他强调唯有让外交主导局势
[05:23] 才有机会推动冲突走向和平
[05:25] 我们之所以关注他是因为
[05:27] 现在川普说
[05:28] 这一次的牵线人是巴基斯坦总理
[05:30] 那他说的话
[05:32] 看一下双方会不会停取
[05:33] 现在的问题就在于
[05:35] 所有人都把主角当成美国和伊朗
[05:38] 但是现在导演变成以色列了
[05:41] 所以同样的
[05:43] 美国跟伊朗停火
[05:44] 包不包含以色列
[05:46] 包不包含黎巴嫩
[05:47] 包不包含沙乌地阿拉伯
[05:49] 很多人都把现在的剧本
[05:51] 当成是美国对伊朗的正面对决
[05:53] 但问题是
[05:54] 现在写剧本的
[05:55] 看起来并不是像市场想象的
[05:57] 那个单线叙事
[05:58] 所谓停火
[05:59] 只是双方之间的冲突降温
[06:01] 也就是伊朗不打美军基地
[06:03] 那美国呢
[06:04] 不直接打伊朗本土
[06:05] 但是整个战场
[06:06] 是否就这样子安静下来
[06:08] 看起来不包含第三方
[06:09] 那换句话说
[06:11] 像沙烏地阿拉伯
[06:12] 这种区域的关键角色
[06:13] 理论上还在冲突范围之内
[06:16] 包括代理人战争
[06:17] 能源设施的攻击
[06:18] 甚至灰色地带的行动
[06:20] 都可能会持续发生
[06:22] 所以这就很有趣
[06:23] 因为停火看起来是不打对方
[06:25] 伊朗不打美军基地
[06:26] 美军不打伊朗
[06:27] 但没有说不打沙伯迪阿拉伯
[06:29] 没有说不打黎巴嫩
[06:30] 停火只停在双方
[06:32] 没有停在第三方
[06:33] 这个时候就变成
[06:35] 并不是资讯没有
[06:36] 大家理解方向开始偏了
[06:38] 叙事抓错了
