[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 黃金資產也是收漲的
[00:31] 所以就算有一點賣壓
[00:32] 今年績效仍然相對亮麗
[00:34] 其實整個25年來到最後一週
[00:36] 所以美國股市就算收跌也跌得不算重
[00:39] 基本上就是量縮交易而已
[00:41] 反而是我們看到貴金屬資產的部分
[00:44] 白銀價格在昨天是一度突破每盎司80美元
[00:47] 不過週一回擋幅度是高達有接近7%
[00:50] 那黃金資產在昨天也跌了有4%
[00:54] 獲利都開始陸續回吐
[00:55] 不過呢從年初到現在
[00:57] 你有沒有發現黃金資產價格的漲幅
[01:00] 它的波動穩定性
[01:02] 甚至比股票還要來得更為健康
[01:04] 幾乎每一次佔到季限左右
[01:06] 就開始往上攻
[01:07] 那現在呢回過頭看
[01:09] 今年貴金屬資產已經成為
[01:12] 全球最為亮麗的資產之一
[01:14] 回過頭即便看股票市場
[01:15] 雖然績效稍微差了一點
[01:17] 但股票市場多數指數
[01:19] 其實也是非常樂觀的
[01:21] 我們根據華爾街策略師
[01:22] 目前給予的最高目標價
[01:24] 預估標普500指數
[01:26] 可能會進入到第四年
[01:28] 連續雙位數字的成長
[01:29] 在AI的龍井帶動底下
[01:31] 這樣子持續下去
[01:33] 因為你就等於
[01:35] 突破了消費性電子迴圈的限制
[01:37] 等同於1999年以來
[01:39] 最長的多頭連勝
[01:41] 我們以歷史的柱狀圖來看
[01:43] 這樣的預測
[01:43] 通常只會出現在資金比較充沛
[01:46] 或者風險偏好的階段
[01:48] 比如說利率週期見頂了
[01:50] AI帶動獲利的想象
[01:52] 資金持續回落到股市
[01:54] 那現在三者剛好同時都成立了
[01:56] 所以這種最好的情境
[01:58] 被拿來當作共識預期時
[02:00] 市場對外的容忍度
[02:02] 反而開始變低
[02:03] 就一旦成長不如預期
[02:04] 也許26年多頭空頭很難確認
[02:08] 但至少是波動性持續放大的一年
[02:11] 其實回過頭看
[02:12] 剛才聊到的金價銀價
[02:14] 就算這樣子一次回擋個5%10%
[02:17] 對於今年的漲幅也沒有太大傷害
[02:20] 亞洲股市也是如此
[02:21] 今年在升值效果底下
[02:24] 平均年漲幅年初到現在是26.4%
[02:27] 那當然今年4月份的關稅戰
[02:29] 也曾經最大跌幅到15%
[02:31] 不過呢平均漲幅
[02:33] 它也已經是2017年以來
[02:35] 亞太市場最為亮麗的一年了
[02:38] 那你說那債券呢
[02:40] 固定收益資產
[02:41] 今年平均報酬也有7.4%
[02:43] 它也是2020年以來最為亮麗的一年
[02:47] 而且債券市場今年的總體回報幅度
[02:49] 或者說整體的回撤幅度
[02:51] 也不像是股票市場來的這麼大
[02:53] 所以今年的確
[02:55] 你只要不買到比特幣
[02:56] 亂設飛鏢都是正報酬
[02:58] 純粹你想要多少的報酬標準而已
[03:01] 所以就是設飛鏢也會中
[03:03] 這個是我們要回過頭來分享一下
[03:05] 因為下禮拜六就是我們財經號角
[03:07] 第一季的聽友會
[03:09] 1月10號
[03:10] 那每個季度我們都會針對當前行情來做一些推演
[03:12] 也會針對過去一個季度的資產操作
[03:14] 和行情判斷來做檢討
[03:16] 我們要如何理解這種全面資產的上行
[03:19] 它到底在反映流動性的增加
[03:21] 降息預期的拉伸
[03:22] 還是它在反映一個
[03:24] 我們更為脆弱
[03:26] 但是又相對樂觀的未來呢
[03:28] 一方面針對AI行情的看好
[03:30] 另外一方面又擔心
[03:31] AI行情泡沫破滅產生的壓力
[03:34] 所以才會兩手接背
[03:36] 一方面針對AI股龍井持續佈局
[03:39] 另外一方面針對黃金資產
[03:40] 有進一步的資產追蹤呢
[03:42] 其實大多數的操作
[03:43] 和個人實際觀點
[03:44] 我們後續都會在會員系統當中
[03:46] 來做分享
[03:47] 短期波動永遠都會變來變去
[03:49] 但長期一定會依循著某些規律
[03:51] 我們到處在聽友會當中
[03:52] 就是去尋找這樣的規律
[03:54] 如果常聽我們直播
[03:55] 對於內容有興趣的話
[03:56] 歡迎可以來到我們的網站
[03:58] 來下取訂單
[03:58] 或者對於我們的看法更有興趣
[04:01] 也可以加入我們的會員系統
[04:03] 裡頭出了一整年的
[04:04] 聽友會的收聽權
[04:05] 還有個人資產部位周字的一些看法
[04:08] 以及一些專題影片宏觀報告
[04:10] 我們過去常講
[04:11] 這個窮人需要投資
[04:13] 富人也需要投資
[04:14] 只不過投資的方法
[04:16] 和側重點不一樣
[04:17] 美國有一句諺語
[04:19] 人生有兩件事
[04:21] 無法迴避
[04:21] 一個是繳稅
[04:22] 另外一個是死亡
[04:23] 其實投資也是一樣
[04:24] 你沒辦法迴避
[04:25] 你認為自己在
[04:27] 沒有投資的時候
[04:28] 其實也在投資
[04:29] 你的資產組合的價值
[04:31] 包括你的存款
[04:32] 和其他資產
[04:33] 其實每天都在改變
[04:34] 隨著你一舉一動在改變
[04:36] 如果你不花點心思
[04:38] 其實對於你長期的資產
[04:41] 你越晚發現投資的奧秘
[04:43] 投資的奧義
[04:45] 投資的真相
[04:46] 你才會越晚才弄清楚
[04:48] 你的資產增長的來源
[04:50] 和邏輯
[04:50] 那當然了
[04:51] 剛才聊到
[04:52] 因為難免
[04:53] 到年底就會比極小
[04:54] 那有些人想說
[04:55] 買比特幣的
[04:56] 想說怎麼
[04:57] 不買乾脆
[04:58] 買債券算了
[04:59] 買債券的想說
[05:01] 早知道去買高股息
[05:02] 買高股息的想說
[05:04] 我應該去買全職型
[05:05] 買全職型的煩惱
[05:06] 我幹嘛不單押臺積電算了
[05:08] 買臺積電的心想
[05:09] 早知道押黃金
[05:10] 買黃金的想
[05:11] 恨得壓癢癢
[05:13] 早知道買白銀
[05:15] 所以煩惱永遠都會在
[05:17] 所以新年快要到了
[05:19] 我們也要祝各位所有的投資朋友
[05:21] 新的一年
[05:22] 我們要把所有過去的煩惱都忘掉
[05:25] 新的一年
[05:26] 我們要裝新的煩惱
[05:27] 我常跟大家分享
[05:29] 你以為很多人有錢了以後
[05:30] 人生就會變成無煩惱模式
[05:32] 我認識這麼多人
[05:33] 現實剛好相反
[05:35] 有錢人一樣
[05:35] 每天被一堆事情追著跑
[05:37] 只是煩惱的內容換了
[05:39] 投資要不要加
[05:40] 企業經營怎麼辦
[05:42] 資產配置會不會踩雷
[05:43] 每天都在煩惱
[05:45] 所以錢確實能夠解決很多
[05:47] 沒有錢造成的煩惱
[05:48] 但它解決不了人性本身的焦慮
[05:51] 那基本上
[05:52] 人生就是一輩子都在克服自己的煩惱
[05:55] 本質上不論身價多少東西
[05:57] 你要了解說
[05:58] 自己揹包裡面裝的東西不一樣而已
[06:00] 你像我
[06:01] 大家不要看我們
[06:02] 每天穿著西裝在這邊舌顫蓮花
[06:05] 我的煩惱也是一堆
[06:07] 那每天你看這陣子開啟損益表
[06:11] 每天都在煩惱
[06:13] 明年到底是要買新一臺新款的911
[06:17] 還是繼續保持我的低調
[06:20] 開兵力就好呢
[06:21] 到底過年是要去冰島看極光
[06:24] 還是去阿根廷看企鵝呢
[06:27] 真是煩惱
[06:28] 所以今天我們的主題是什麼
[06:30] 我們就聊聊川普的煩惱
[06:32] 那如果大家有興趣
[06:32] 歡迎可以來參加我們的聽友會
[06:34] 或者參與我們的會員系統
[06:36] 那整個2025年
[06:37] 川普最強的王牌
