[00:01] 投資朋友歡迎收聽早晨財經速解讀
[00:03] 現在是臺北時間2026年1月23號禮拜五
[00:06] 早上8點31分
[00:07] 大家早上好我是劉廷浩
[00:08] 每天早上開辦前半小時
[00:10] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:13] 那隨著美國股市就目前的反彈情況
[00:16] 納斯達克指數又飆了1%
[00:18] 已經開始往歷史新高之路來做賣進了
[00:21] 雖然還有一段距離
[00:23] 不過就目前來看道瓊和標普啊
[00:25] 漲勢也氣勢如虹
[00:27] 尤其是現在的黃金價格
[00:28] 也並沒有因為格林蘭局勢的緩和而回跌
[00:32] 我們看週四
[00:33] 黃金價格是首次突破了每盎司4900美元
[00:37] 再創下歷史新高
[00:38] 代表的市場資金一直都是圍繞著AI硬體股
[00:42] 以及黃金價格持續的做輪動
[00:45] 一邊看好AI行情
[00:47] 另外一方面也引發
[00:48] 引防市場可能引發的一些不確定性
[00:51] 所以黃金價格漲到現在這個位階
[00:54] 仍然是今年所有資產當中
[00:56] 績效來得最為亮麗的
[00:57] 那我們今天就從兩個邏輯來做觀察
[01:00] 一方面是目前的GDP預期出入以後
[01:03] 到底當前的實體就業情況
[01:06] 或者經濟預期表現為何
[01:08] 是否能夠拖住美國的整體消費
[01:10] 那一方面拖住消費以後
[01:12] 市場上能來不來
[01:14] 即在年底有終端AI
[01:16] 物理AI的推出
[01:17] 來使得市場上的消費預期開始增強
[01:20] 也就代表著
[01:21] 現在我們看到Robotex
[01:23] 在德州奧斯汀正式上路以後
[01:25] 自駕的AI大爆發
[01:27] 是不是26年的重點
[01:28] 那27年28年
[01:30] 我們講說物理型的機器人AI
[01:32] 也許就可以開始賣到家裡頭了
[01:34] 那這就會引起
[01:35] 新一波的生產力週期演變
[01:37] 我們首先看美國第三季GDP的修正值
[01:40] 這一次又往上修了
[01:42] 修正到年增幅4.4%
[01:44] 比初估多了0.1個百分點
[01:47] 寫下了過去兩年來
[01:48] 最快的經濟成長速度
[01:50] 那這一次上修
[01:51] 主要來自於出口和投資的表現
[01:53] 比原本市場預期來的好
[01:55] 但部分被消費支出下修所抵消
[01:57] 所以還是要這樣子
[01:59] 我們低估了AI的增長動力
[02:01] 可是我們也稍微高估了美國消費
[02:04] 好像其實並沒有想象中這麼好
[02:06] 大概總體調整幅度也非常有限
[02:08] 是從4.34%
[02:10] 微拉到4.37%
[02:12] 那真正觀察的重點在於下一步
[02:14] 也就是四季度的GDP
[02:16] 現在預估四季度的GDP
[02:18] 年化成長拉抬幅度
[02:20] 已經衝高到接近5%了
[02:22] 相對於去年年底
[02:24] 接近只有3%的距離
[02:26] 拉伸幅度非常快
[02:27] 就反映著
[02:28] 其實從去年第四季開始
[02:30] 市場的增長幅度還在持續加大
[02:32] 那跟原本投行普遍的預估值
[02:35] 其實落差值就越來越寬了
[02:37] 這也形成在今年一季度
[02:39] 至少投資提振的效果
[02:41] 導致了經濟敘事的全面轉向
[02:43] 我們根據美銀的最新統計值
[02:45] 事實上根據多數基金經理人的看法
[02:48] 多數人對於未來一年的
[02:50] 全球經濟基準情緒
[02:52] 已經從軟著陸正式改變了
[02:54] 那你說軟著陸去年是主流
[02:56] 那今年變什麼呢
[02:57] 變成不著陸
[02:58] 也就是今年經濟會成長維持
[03:01] 降溫有限
[03:02] 經濟根本就不會放緩
[03:04] 那這個轉變很關鍵
[03:05] 因為過去軟著陸的根本要求
[03:08] 就是你要有人放水嗎
[03:10] 因為你經濟越來越緩
[03:12] 成長越來越弱
[03:14] 所以你要有一個監督者
[03:16] 有一個聯總會默默的放水降息來救經濟
[03:19] 而現在市場已經開始接受
[03:21] 景氣是不著陸
[03:23] 那就代表景氣自己撐得住啊
[03:24] 不著陸變成了市場的隱含波動風險
[03:28] 也就是利率預期可能消失
[03:30] 那很多大家針對降息預期產生的效果
[03:32] 是不是會因此而改變呢
[03:34] 這是第二大敘事
[03:35] 不過呢
[03:36] 這也會讓川普非常不開心
[03:38] 那我還是希望軟著陸啊
[03:40] 因為這樣才可以降息嘛
[03:41] 那另外一方面
[03:42] 市場最相信哪一個劇本呢
[03:43] 我們根據美銀經紀人調查
[03:46] 投資人對於未來一年的描述
[03:48] 從22年到23年
[03:50] 那段區間是標準的
[03:51] 叫停滯性通膨
[03:52] 或者是內滯脹通膨
[03:54] 那後來呢
[03:55] 轉向成熟
[03:56] 但是不過熱的想象
[03:58] 那後來呢
[03:59] 變成了金髮女孩經濟
[04:00] 到目前為止
[04:01] 基本上整體市場共識
[04:03] 已經處於
[04:04] 並非經濟大爆發
[04:06] 但是通膨可控
[04:07] 成長尚可
[04:08] 政策不會出大錯
[04:09] 聯準會好像
[04:10] 不太需要做什麼事情
[04:12] 景氣就會這樣子
[04:13] 慢慢的走高
[04:14] 由AI來拉動傳產了
[04:16] 所以這樣子
[04:17] 條件就導致了
[04:18] 市場上
[04:19] 擔心的就不再是
[04:21] 經濟會不會崩盤
[04:22] 而是那通膨會不會下行路徑來得更緩
[04:25] 導致聯準會的升降級幅度
[04:27] 成為短期市場的情緒焦點
[04:29] 的確大多數投資人也認為
[04:31] 未來一年全球CPI會上升的近比例
[04:34] 已經從當時22年到23年的極端的恐慌區
[04:38] 大幅回落到零軸附近
[04:40] 也就代表著市場上對於通膨的看法
[04:43] 從一開始一定會失控
[04:45] 到現在大概能夠穩住
[04:47] 不過也回來速度沒這麼快
[04:48] 有這樣的一個看法
[04:50] 所以高盛最新的報告也顯示
[04:53] 目前我們似乎低估了
[04:54] 2026年的經濟成長率
[04:56] 也許在26年的情況底下
[04:58] 軟著陸往不著陸的敘事
[05:00] 會導致EPS的拉昇幅度
[05:02] 持續的加深
[05:03] 消費維穩
[05:04] AI投資需求暴增
[05:06] AI的投資再度帶動傳產
[05:08] 開始從七巨頭
[05:09] 外溢到各大大型中型重電股
[05:12] 基礎建設概念股
[05:13] 我們回顧整個25年
[05:15] 去年的EPS表現在標普派指數當中
[05:18] 實質表現其實比原本預期表現好很多
[05:21] 大概每個季度都是雙位數字成長
[05:23] 原本的預期大概都是7%到8%
[05:26] 但是26年我們看高盛已經全面上調
[05:29] 針對今年的EPS成長
[05:31] 原因是高盛非常相信
[05:33] 下半年的物理性AI
[05:35] 帶貨潮已經真實開始了
[05:37] 所以你看費辦現在的營收開始認列以後
[05:39] 都開始爆充
[05:40] 而現在我們要更觀察的是
[05:42] 下半年七巨頭隨著物理AI的應用
[05:45] 是否也有效能夠帶動當前的獲利水準
[05:49] 現在就預估一季度有13%的EPS成長
[05:52] 二季度14%
[05:53] 三季度15%
[05:54] 到四季度就衝到18%了
[05:56] 這個高盛到目前為止
[05:58] 突然大幅的轉向
[05:59] 針對今年前景抱持樂觀
[06:01] 當然它也隱含了另外一件事情
[06:03] 如果接下來是物理AI的應用
[06:06] 開始有效的拉抬
[06:07] 那麼資本支出的增長
[06:10] 難道會無條件上升嗎
[06:11] 因為我們從24年到25年來看
[06:14] 資本支出去年平均是成長75%
[06:17] 這個很明顯比營收比利潤成長來得快
[06:20] 你投了這麼多錢
[06:21] 未來肯定投的錢的幅度增長年增幅
[06:24] 有積極效果的原因
[06:25] 不可能這麼快
[06:26] 所以26年就會逐步放緩
[06:28] 到27年就會處於平緩
[06:30] 雖然不至於衰退
[06:31] 可是這也讓硬體股
[06:33] 它也不太可能無條件的永遠擴張
[06:35] 最重要的觀察重點還是來自於
[06:38] 那麼硬體賣了這麼多
[06:39] 資料中心蓋了這麼多
[06:41] 那到底回收的成本
[06:43] 回收的效果為何呢
[06:45] 所以資本支出要繼續擴增
[06:47] 那今年就必須要有一點成果
[06:49] 讓七巨頭也賺到錢
[06:50] 不能只有臺積電揮達賺錢
[06:52] 那買回達買臺積電的人
[06:54] 他也必須要賺到錢
[06:56] OK
[06:56] 這就導致了我們看市場
[06:58] 開始有新一波的投資角度
[07:00] 一方面長期看好的一定是七巨頭
[07:03] 但是短期內
[07:04] 大家在賭的是輪動
[07:06] 美國股市的關鍵
