[00:00] 投资编欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年3月9号礼拜一
[00:05] 早上8点31分
[00:07] 大家早上好我是邮金号
[00:08] 每天早上开盘前半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 有网友说怎么纸箱收了又拿拿了又收
[00:16] 又到了取暖的日子
[00:18] 这次油价飙破了100美元
[00:20] 就业数据的意外转落
[00:22] 也让联准会接下来的决策会议来得更加困难
[00:26] 毕竟从就业市场角度而言
[00:28] 现在看起来真的有开始降息的空间
[00:31] 不过针对油价外部性冲击
[00:33] 对于通膨的拉抬看起来蠢蠢欲动
[00:36] 上礼拜道琼周五下跌453点
[00:39] 盘中一度重挫950点
[00:41] 所以还是看得出来买盘
[00:42] 标普下跌1.3%
[00:44] 纳斯达克指数收低1.59%
[00:47] 如果从过去一周来看
[00:49] 其实跌幅也还好
[00:50] 标普是下跌2%
[00:52] 那过去涨比较高的道琼下跌3%
[00:55] 纳指周跌幅是1.2%
[00:57] 今年三大指数开始转为负报酬了
[01:00] 剩下废办还撑在上面
[01:02] 不过回调幅度也算蛮大的
[01:04] 台股的部分
[01:05] 台指企业盘叠了千点
[01:07] 三万三的关卡
[01:09] 后续能否顺势的守住
[01:11] 或者呢
[01:11] 接下来就要看一下
[01:13] 全球系统性的回挡
[01:14] 那这个时候就要回过头看
[01:16] 我们过去讲过
[01:17] 这个油价的见顶
[01:20] 是半学的股市的见底
[01:21] 那油价的创高
[01:23] 当然股票市场的回调开始变大
[01:25] 那我们要从几个角度来做观察
[01:27] 因为这次西德州原油价格
[01:29] 已经来到每桶111美元
[01:31] 这亚洲盘一开出来很惊人
[01:34] 这明明美国其实原油也可以自产自销
[01:37] 但是国际油价已经开始受到
[01:39] 非常显著的期货炒作效果
[01:41] 市场反应非常剧烈
[01:43] 现在突破每桶百元的心理关卡以后
[01:46] 我们从长期线图来看
[01:48] 二年以来本来是一个标准的下行格局
[01:50] 那这会是产生新一轮的格局变动吗
[01:53] 尤其亚洲国家首当其冲
[01:56] 多数其实都很依赖中东的能源供应
[01:59] 日本90%以上的原油都来自于该地区
[02:03] 韩国甚至要考虑重新实施油价上限
[02:06] 那中国当然这一次已经限制燃料出口
[02:09] 以确保国内的供应
[02:10] 在这样的一个效果底下
[02:12] 油价的飙升
[02:13] 它未必会对于经济产生致命性的影响
[02:16] 我们过去进行过回测
[02:17] 以及相关统计结果
[02:20] 都已经表明原油价格
[02:22] 对于全球经济的伤害
[02:23] 已经不像1970年代这么大
[02:25] 可是对于通膨的影响
[02:28] 可能会让联准会的决策产生重大变化
[02:31] 使得市场上被迫针对股市来进行新一轮的定价
[02:35] 在这样的一个效果底下
[02:36] 等同于通膨问题
[02:39] 是接下来川普所面临最大的难关
[02:41] 今年也才过了44个交易日
[02:44] 但是市场上已经接连遭遇到地缘政治冲击
[02:48] 中东军事行动发布以后
[02:50] 标普派指数实质上跌幅也没有很多
[02:53] 大概2%
[02:54] 表面上看起来很平静
[02:56] 但今年大家也知道
[02:57] 其实很多个股
[02:59] 已经跌得七零八落
[03:00] 尤其是一些软体股
[03:01] 那现在会发现
