[00:00] 投資變換收聽早晨財經速解讀
[00:04] 現在是台北時間2026年8月17號禮拜一早上8點31分
[00:08] 大家早安我是尤廷浩
[00:09] 每天早上開文件半小時
[00:10] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:14] 上禮拜五美國最新的零售交收數據和消費者的信心
[00:19] 還是有非常明顯的降溫
[00:20] 但至少把升息的警報給解除了
[00:23] 看看有沒有機會在今年沒有任何升息一碼的機會
[00:28] 當然回過頭說
[00:29] 如果按照目前的財富效應,要馬上打開接下來的降息通道也有所難度。這一次7月份零售銷售數據的下滑,能不能至少為降息的方向來奠定基礎呢?
[00:42] 雖然華許一直說他不願意做任何的前瞻指引,但至少在接下來的FOMC應該要適度表態了。
[00:49] 回過頭說,標普500指數到目前為止,財富效應還是撐住了整體的經濟概況。
[00:55] 標普接近8000點,距離200日移動平均線,我們把它當作年線,還高出接近10%,距離50日均線也高出3.7%,有72%的成分股目前已經占上年線,市場廣度依舊很健康。
[01:12] 基本面也有支援。這次第二季企業獲利年增幅,就算不看AI巨頭,整體增長幅度大概都有33%。
[01:21] 未來預估本益比,10月份去年,AI 用動機當時的高點還有23倍,標普500信貸的本益比只剩下20倍。
[01:31] 所以你就清楚知道這一波的上漲不是靠估值膨脹,是靠基本面的推動。
[01:37] 其實基本面上升的速度比資金買盤還要來得更快速。
[01:41] 重點在於,整個7月份你不要看風聲鶴唳,韓國股市散戶,我記得有30萬戶爆倉,120萬人受到市場嫌促成壓。
[01:51] 不過在7月份美國的家庭單月的ETF流入金額高達了3500億美元,今年已經高達1.6兆了。
[02:00] 說明雖然短線上來客自如,有些乘客上車有些乘客下車,可是從長線上幾乎所有存股族都在7月份加大扣款。
[02:12] 高盛的年終目標是8000點,距離現在的點位大概也只剩下3%左右的幅度。
[02:18] 所以從這樣的一個角度來做觀察,的確標普白指數在上禮拜所創下的歷史新高仍然是讓美國股市保持在高強度多頭的根本原因。
[02:29] 標普上禮拜已經第27次創下歷史新高了,如果從13年來看已經是470次了。
[02:37] 你有沒有發現過去10年除了2023年沒有創高以外,大多數的年份幾乎都在創高,所以美國股市的三代牛慣性還是很明顯的,不要跟著它對坐。
[02:48] 就連過去最為疲憊沉寂的微軟,最近都已經硬起來了,準備要往歷史高點來做邁進。
[02:54] 你看當時他的頭部打了多久,結果這一段時間財暴跡之後股價大漲,嘗試著要把過去的市場賣壓一舉殲滅。
[03:03] 軟體股也是如此,大家還記得今年年初其實股價也在跌,只是當時的跌法、跌幅主要都是集中在一些軟體股,我們講的SARS末日,因為這些軟體股會被Agent AI給取代。
[03:17] 可是呢,我們看到,一個月前,軟體股還是市場最討厭、最放空、最擁擠、估值也最便宜的族群。
[03:25] 現在的高強度反彈,你發現,IGV軟體型ETF一個月已經漲兩成了。
[03:32] 如果從4月的低點來看其漲點,已經漲40%,距離歷史高點,它漲幅也不到10%了。
[03:40] 所以,就連過去最為疲憊的軟體股都開始蠢蠢欲動。
[03:44] 我們很明顯感受到,只要讓晶片股稍微休息一下,資金就開始回流到科技巨頭或者這些軟體型 ETF 當中。
[03:52] 當然,很多人會說,可是距離期中選舉月盡好像也不以股市持續走高。
[03:58] 的確,按照過往經驗,VIC指數的確在8月到9月通常會創下當年度的波段低點在期中選舉年。
[04:05] 可是,當9月來到10月之後,會有慣性的走高所引起的進一步中期回調。
[04:11] 主要來自於有時候選情會相對比較焦灼,所以會讓政策的不確定性大幅提高。
[04:17] 我們不確定這次期中選舉之後,川普會不會就會有被彈劾的壓力。
[04:21] 所以在這樣的一個效果底下,等同於雖然今年已經經歷了兩次比較大的中期回調,時間先不長了,但有沒有可能出現第三次呢?
[04:30] 也許還是有一段的時間,至少我們從現在來看,整體美國股市其實從7月份以後,它還是一個標準的類股的輪動,只是有些類股輪動大了一點。
[04:41] 看起來就變成進入到熊市或者中期回調了。
[04:44] 但你不要想說那晶片股現在就很慘了不要碰晶片股了。
[04:48] 晶片股的反彈其實也很快了。
[04:50] 我們必須承認晶片股即便今年跌這麼重仍然在漲幅當中是名列前茅的。
[04:56] 我們以標普500指數來看今年漲幅最亮麗的股票幾乎還是AI基礎建設概念股。
[05:03] Cendex你不要看前陣子跌這麼重今年是漲了591%。
[05:07] 戴爾 、西捷 、美光、Intel 、威騰、AMD 。
[05:17] 這都是今年漲幅,低於百分之百都算輸。
[05:21] 而且在這些股價上漲的過程當中,它並沒有導致科技股嚴重的估值失真,因為獲利成長的速度更快。
[05:29] 所以如果我們看納斯達克 100指數,從7月份低點這樣子彈上來,大概彈了12%,站上了50日均線。
