[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 一个接着一个来
[00:31] 似乎荷姆兹海峡又再度封锁了
[00:33] 不过呢
[00:34] 不管怎么说
[00:34] 至少在这一次
[00:36] 三月到四月中旬的中东危机当中
[00:38] 市场上啊
[00:40] 一度是反映着极度悲观
[00:42] 但是到四月初开始啊
[00:44] 至少金金涨的格局啊
[00:45] 仍然在一个标准的嘎空行情
[00:47] 标普牌指数在礼拜五时上涨了1.2%
[00:50] 收在7126点
[00:52] 这是首度站上7100点的整数关卡
[00:55] 创下历史记录了
[00:57] 纳斯达克指数也上涨了1.52%
[00:59] 这是连续第13个交易日收红
[01:01] 道琼也后来跟上
[01:03] 上涨868点
[01:04] 涨幅1.79%
[01:06] 小型股的罗素2000
[01:08] 也上涨了接近有2%
[01:09] 所以这一波美欧股市的最后创高
[01:12] 当然跟原油价格的回跌是有关的
[01:15] 当时似乎达成短期内停战协议
[01:18] 以及释放更进一步停火条件以后
[01:21] 原油价格一度下挫到80美元每桶
[01:24] 结果在周末
[01:26] 伊朗采取进一步再封锁以后
[01:28] 开始回弹
[01:29] 不过距离历史高点
[01:30] 看起来有一段距离
[01:32] 我们就要看这一次第二轮的美伊谈判
[01:35] 即将登场之后
[01:36] 市场会用什么样的角度来做解读
[01:38] 毕竟从纳斯达克指数
[01:40] 标普白指数来看
[01:41] 这一波弹幅真的很高
[01:43] 有适度的回撤
[01:44] 就算没有利多
[01:45] 给他一点利空
[01:46] 做回撤都是很正常的
[01:48] 中东冲突
[01:49] 当然市场上现在的标准评估
[01:51] 是认为会带来短期的通膨压力
[01:54] 但是似乎现在股价的走势
[01:56] 大家都认为不会伤到经济
[01:58] 也因此标普企业获利的预估值
[02:01] 在这一次财报季初期并没有因此而下修
[02:04] 反而最近在不断的上调
[02:06] 这也显示市场针对基本面的信心其实非常稳
[02:10] 当然从资金面来看
[02:12] 这一波的上涨主要还是由量化资金来推动
[02:16] 避险基金的回补空单
[02:17] 系统性的策略全面转多
[02:20] 所导致接近有数千亿美元在过去两周
[02:23] 大幅度的流落到股市
[02:24] 形成价格跃涨
[02:26] 而且现在是突破新高
[02:27] 所以那种城市
[02:28] 当然他就被迫要进行追加
[02:30] 资金就越追的正回馈
[02:32] 那这种动能
[02:33] 当然也有一天也会耗尽
[02:35] 一旦投机的资金用完了
[02:37] 市场就会把接力棒交给企业
[02:39] 或者家庭的真实需求
[02:41] 由散户来跟上
[02:42] 也就是说市场上正在由资金行情
[02:45] 尝试的进入到验证场情
[02:47] 不过就像现在这个时间点
[02:49] 往下回跌也很正常
[02:51] 因为乖离拉太高了
[02:52] 哪有连续涨13天
[02:53] 连一天都没休息的
[02:55] 这一波会喷这么凶
[02:56] 就是空军还没有认输
[02:58] 所以回过头来说
[02:59] 能不能借由一定程度的利空
[03:01] 让乖离稍微倒下来呢
[03:03] 我们看荷姆斯海峡
[03:04] 在本周末曾经一度出现短暂的恢复通行
[03:08] 不过情势在数个小时内就急转直下
[03:11] 原本礼拜六有12艘的商船
[03:14] 已经成功的离开波斯湾
[03:16] 所以周末你看
[03:17] 虽然整体运量相对于二月底还是差很多
[03:21] 可是周末我们看到
[03:23] 邮轮的运量其实已经超过了过去一个多月以来的高点
[03:27] 可是伊朗这一次再次对外广播航道关闭之后
[03:31] 多少船只就当场掉头
[03:33] 甚至至少有9艘的邮轮和多少货柜轮开始回头
[03:37] 连印度邮轮由于尝试着要做突破
[03:40] 也被伊朗开枪狙击
[03:42] 更关键的事情是这场混乱
[03:44] 它发生在美国和伊朗双方先后释出航道已经开放的讯号
[03:50] 它不是单一说航道开放
[03:52] 而是双方本来说好航道已经开放了
[03:55] 结果呢
