[00:00] 欢迎收听赵华与古惑仔第1051集
[00:09] 今天是2026年的3月9号
[00:12] 延续了上个礼拜的变动
[00:15] 到今天这个周末
[00:18] 我想大家最关注的一件事情
[00:20] 就是油价的爆喷
[00:22] 因为上个礼拜有跟大家提醒
[00:24] 油价的喷出是绝对不利的
[00:26] 因为到上礼拜五开始
[00:27] 其实还没有
[00:28] 是接近周末的时候
[00:30] 突然就喷起来了
[00:32] 这时候台股已经收盘了
[00:34] 甚至是在美股收盘后
[00:36] 油价继续喷
[00:38] 所以这个事情是相对比较严重的
[00:40] 等一下来细细解释
[00:41] 为什么油价上涨市场会如此的恐慌
[00:44] 但今天盘中
[00:45] 台股一开盘
[00:46] 我想大家心都凉了
[00:48] 台指旗直接是2000点灌下去
[00:50] 我印象中台指旗有杀到将近2400点
[00:53] 那现货市场的话
[00:54] 我们今天盘中最大的跌点是来到2070
[00:58] 这个仅次于去年的对等关税
[01:01] 有一天是2086
[01:03] 所以我们今天是创下了
[01:05] 台股历史上的第二大跌点
[01:08] 几乎恐慌的感觉
[01:09] 也许跟这个对等关税有一样
[01:11] 但是位阶不一样
[01:12] 因为当时是这个从2万多点跌下来
[01:15] 现在从3万多点跌下来
[01:17] 位阶不一样
[01:18] 所以今天打到跌停板的股票
[01:20] 有100多家
[01:21] 不像上一次是1000多家
[01:23] 那今天大家的心情是恐慌呢
[01:26] 还是又迫不及待的进去捡呢
[01:29] 不过我想
[01:29] 因为今天已经彻底的破月线
[01:31] 往季线去探了
[01:33] 大部分的人应该还是有一点受伤了
[01:35] 不太可能说
[01:36] 好法无伤
[01:38] 或至少是什么
[01:39] 获利可能会回吐
[01:40] 我想这个难免是有的
[01:42] 但如果有按照一些
[01:44] 过去我们讲的操作的纪律来说的话
[01:47] 那可能就是仅止于获利回吐是还好
[01:51] 那今天收盘收在跌1489点
[01:55] 那就看得出来有拉了一个将近五六百点的下影线
[01:59] 很多人问说那明天呢
[02:01] 因为毕竟今天有很多的热门股是跌停锁死打不开
[02:06] 所以可能今天不管是要杀融资
[02:08] 或是有一些卖单要出去是不容易出去的
[02:11] 所以这可能延续到明天还会有一点点的卖压
[02:14] 当然要看今天晚上美股油价和川普的表现
[02:18] 我先来欢迎今天来宾
[02:20] 因为今天已经很多人在我脸书上留言说
[02:22] 古惑仔能不能两小时
[02:24] 能不能给我们心灵鸡汤
[02:26] 今天的来宾我先讲
[02:27] 他在这一波获利回吐了25个百分点
[02:32] 而且因为他就是没有好好遵守他的纪律
[02:35] 所以他能不能因为这样
[02:36] 让大家有点鸡汤感
[02:37] 我先来欢迎他
[02:38] 今天来的是冠军操盘手云翔哥
[02:41] 大家好
[02:42] 云翔哥
[02:44] 这个他很有趣
[02:45] 过年前他就一直在买put
[02:47] 然后他就说
[02:48] 我跟你讲我一直买台股
[02:50] 就会一直涨
[02:50] 就会创历史新高
[02:51] 排骨症的被他买到将近三万六千点
[02:54] 但猛的来咯
[02:56] 在修正的过程中
[02:57] 他就开始皮咯
[02:58] 他就不买他的选择权
[03:00] 闭闲了
[03:01] 然后好几次我都跟他说
[03:02] 你不买等一下就会崩
[03:04] 结果崩到今天真的猛
[03:06] 所以他也是上了一课
[03:08] 好不过我们先来讲
[03:10] 整体大局势
[03:10] 再来讲你上的这一课
[03:13] 获利回图25%
[03:14] 当然最近的情况就是
[03:16] 美伊战争
[03:17] 那一开始的时候
[03:18] 大家会觉得
[03:19] 这个小虾米对大鲸鱼嘛
[03:21] 美国的战力
[03:22] 这个可能伊朗很快就会停止了
[03:25] 但看来伊朗不想停止
[03:27] 不想停止
[03:28] 而川普又讲了一句话
[03:30] 油价飙就让它飙吧
[03:31] 其实我觉得川普在讲这句话
[03:33] 心里面一定有下一个什么样的棋
[03:35] 可是没想到这句话出来
[03:36] 这个平均油价
[03:38] 不管西德州或者是布兰特好了
[03:40] 大概都涨了20个百分点
[03:42] 创下应该算是历史以来
[03:45] 最大的州涨幅
[03:46] 那涨上去的话
[03:48] 市场会担心通膨的问题
[03:50] 而且是恶性通膨的问题
[03:52] 为什么呢
[03:52] 因为上个礼拜公布的
[03:54] 美国的非农就业人口和失业率
[03:56] 都是不好的
[03:58] 就业变得冷清
[04:00] 失业率变高了
[04:01] 所以大家会觉得
[04:02] 以前看到这个坏数据
[04:03] 联准会降息啊
[04:04] 太好了啊
[04:05] 欢呼啊
[04:06] 可因为现在有通膨的疑虑
[04:07] 所以联准会是不可能
[04:09] 在这个时候有任何的动作的
[04:10] 导致会有出现
[04:12] 好像就业跟景气有点在往下
[04:14] 可是呢
[04:15] 通膨在增温的一个不好的情况
[04:18] 所以今天台股就酝酿了一个恐慌的下跌
[04:22] 但这边要请教云翔哥
[04:23] 到底纵观整个国际局势
[04:26] 和台股自己的一个产业地位
[04:28] 你会怎么看这一次的崩盘
[04:30] 因为上礼拜我记得
[04:32] 跟赵华节目我大概有聊到
[04:34] 就是说确实因为这次美伊战争
[04:38] 其实上我觉得是比之前
[04:40] 当然这个以色列这个护舍飞弹
[04:43] 这个来得严重
[04:44] 那因为是在这个赫姆斯海峡这个问题嘛
[04:49] 就是把这个20%的这个原油大概都挡住了嘛
[04:54] 所以大家有想说油价可能会有到100块的这个位置
[04:59] 那没想到来这么快
[05:00] 一两天直接就把
[05:03] 直接标破这个100以上
[05:05] 那确实就是说因为大家在衡量
[05:08] 就是说有在这个算式有一些专家在算嘛
[05:12] 就当到100的时候会产生什么样的效应
[05:16] 刚刚赵老师已经讲
[05:17] 最大的效应就是通膨的问题
[05:20] 通膨当然就可能导致
[05:22] 这个原味道成本
[05:25] 然后导致这个企业成本增加
[05:28] 所以对股市当然影响就会来
[05:31] 那这个影响呢
[05:33] 基本上大家对于影响
[05:35] 基本上看的是这个时间的落点
[05:37] 如果超过三个月甚至到半年
[05:40] 那當然這影響性就非常非常大
[05:42] 那之前當然也有過一次
[05:44] 就是烏鵝站這個事情
[05:46] 油價曾經飆到140
[05:48] 瞬間飆到140
[05:50] 可是他的沒有問題的原因就在於說
[05:54] 他不到兩個月
[05:55] 基本上油價就直接就拉回回跌
[05:58] 所以這次也是要看
[06:00] 就是說如果是這個
[06:02] 真的這個OPEC或者是這個G7
[06:05] 想說要開會嘛
[06:06] 如果開會以後
[06:07] 真的決定釋出這個戰備的儲油
[06:10] 干嘛去压这个油价
[06:11] 当然这事件可能搞不好
[06:13] 落幕比较快一点
[06:14] 那不过最终还是取决于说
[06:16] 这个战争要拉得多长
[06:19] 那所以说在这里面
[06:21] 我觉得说
[06:21] 我刚刚确实做错一些事情
[06:24] 说毕竟我觉得
[06:25] 还是要稍微谨慎一点
[06:28] 因为这个我们最近几天
[06:31] 刚好在讨论同一个问题
[06:33] 因为讲到乌尔战
[06:34] 很多人觉得说
[06:35] 乌尔战当时也是觉得很快
[06:37] 因为也算是
[06:38] 两个不对等的国家势力
[06:40] 对不对
[06:40] 但没有想到打下去
[06:42] 即使油价在两三个月后
[06:44] 是回到比较正常的水位
[06:46] 可是当时还伴随了
[06:47] 另外一件事情
[06:48] 就是半导体的库存堆到
[06:50] 满出来
[06:52] 所以大家都在做
[06:53] 去化库存的这个问题
[06:55] 所以当时的台股
[06:56] 也是一路的下销
[06:58] 我记得到了一万两千多点
[07:00] 现在想想一万两千多点
[07:01] 三分之一的位置而已
[07:03] 那一年其实股后债
[07:06] 也做了很多
[07:07] 就是如何分批
[07:08] 往下做这个基金或ETF的加码
[07:11] 个股不敢讲
[07:12] 而且个股很挑啦
[07:13] 个股如果说你挑的是台积电
[07:15] 我想很开心
[07:16] 但是也不可否认
[07:17] 如果挑错了股票
[07:18] 是跌到真的是断头几次都不够的话
[07:20] 就很麻烦
[07:21] 那这一次类似的事情是什么呢
[07:24] 类似的事情有战争
[07:25] 就是美伊战
[07:26] 那美伊战可能也比想象中来的时间拖得长
[07:30] 就跟俄乌战当时有点像
[07:31] 好那油价也飙了
[07:33] 那至于油价会不会在一两个月后下去
[07:35] 不知道
[07:35] 那一两天大家都已经吓傻了
[07:37] 那另外一个重叠到自然是AI
[07:40] 因为这个周末还发生了一件事情
[07:42] 就是OpenAI跟甲骨能合作
[07:44] 看来会有点生变
[07:45] 对不对
[07:46] 因为大家都有点担心
[07:47] 现在这个时间点
[07:48] 股市就是这样
[07:49] 涨上去的时候
[07:50] 你要资本支出
[07:52] 你要扩张
[07:52] 你就是赢家
[07:54] 你就是王者
[07:55] 可是跌下来的时候
[07:56] 哎呦
[07:57] 赶快
[07:57] 是不是钱不要花那么多
[07:59] 股价都跌了
[08:01] 钱还要花那么多吗
[08:02] 它会变成一个负循环
[08:03] 当然这个负循环
[08:04] 能不能因为川普讲了一句什么
[08:06] 或是有一些科技巨头出来
[08:08] 做了一些事情
[08:09] 也可能会扭转
[08:10] 但现在就是这两件事情
[08:11] 叠加在一起
[08:12] 刚刚讲的战争
[08:14] 加上AI大厂
[08:16] 现在好像有缩手的味道跑出来
[08:18] 当然AI这个
[08:20] 当然黄永熙一直在激烈的讲话
[08:23] 确实说目前看来
[08:26] 就是总体的市场
[08:29] 感觉应该不会这么快速
[08:31] 有什么变化
[08:32] 因为终究美国四大CSP厂
[08:38] 基本上还是持续在扩充
[08:41] 现在来讲
[08:43] 总体的这些AI来讲
[08:44] 确实就是已经演变到
[08:47] 感觉是变得蛮大了
[08:49] 大家也感受到
[08:50] AI这个市场的需求
[08:53] 好像有出来
[08:53] 其实现在的市场
[08:54] 包含到低轨卫星
[08:57] 也连接在一起了
[08:58] 军工你不要说没有
[09:00] 也连接在一起了
