[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 第一次他的周文也發文道瓊指數將突破五萬點大關
[00:34] 恭賀美國股市
[00:35] 所以這波美股市的大爆拉
[00:37] 是否意味著本輪的系統性回撥已經終於完成
[00:42] 投資人先前針對科技股的回檔
[00:45] 原本預估是造成軟體股以及AI股沙盤的重心
[00:49] 市場上的週期輪替是否會由於政治面的訊息
[00:53] 產生大幅度轉捩
[00:54] 我們本週會來跟投資朋友觀察在
[00:56] 美國元月份的非農就業資料
[00:58] 原本是禮拜五就要公佈了
[01:00] 但是延後到禮拜三
[01:02] 所以後續來觀察
[01:03] 持缺數的持續下滑
[01:04] 會產生什麼樣的效果
[01:06] 畢竟連比特幣都稍微守住了
[01:08] 本輪的上行通道
[01:10] 我們看不管是從2018年2020年
[01:13] 還是從2022年
[01:15] 以及本年度2026年的下影線
[01:17] 基本上都打得相當深
[01:19] 那是否意味著
[01:20] 本輪的美國股市
[01:21] 已經來到技術性回撥的低點了
[01:23] 我們後續再來跟投資朋友關注
[01:25] 因為本週大家最為關注的
[01:27] 當然是日本眾議院這一次的選舉結果
[01:30] 對今天已經在米蘭參加冬奧了
[01:33] 不是參觀冬奧了
[01:35] 所以今天在外地跟大家直播
[01:37] 不過順便撤下網速好不好
[01:40] 到時候再來跟投資朋友分享一下
[01:42] 不過這次日本眾議院選舉
[01:44] 可以說是銀在票箱
[01:45] 但是難在治理
[01:47] 高市政權拿下戰後少見的壓倒性席次
[01:51] 那麼包括政策授權也是前所未有的集中
[01:54] 表面上我們現在看到強勢開舉
[01:56] 真正的考驗開始了
[01:58] 一方面是減稅計劃馬上就要來了
[02:00] 補貼計劃
[02:01] 國防的擴張
[02:02] 和產業補助所帶來的財政壓力
[02:05] 一方面是通膨未退
[02:06] 日元偏弱
[02:07] 長天期的利率上行
[02:09] 所引發的債市和匯市波動
[02:11] 另外一方面
[02:12] 我們也知道中日關係
[02:13] 最近是比較冷淡
[02:14] 供應鏈的重組
[02:16] 軍事能源的政策轉向
[02:17] 以及外部衝擊
[02:18] 所以今天我們就來跟投資朋友看看
[02:21] 不管是從市場
[02:22] 從外交
[02:23] 從民生的三條線
[02:24] 接下來日本
[02:25] 即將所迎來的挑戰
[02:27] 我們先看一下這一次高盛所達到的里程碑
[02:30] 高是在最新的中英院選舉當中
[02:32] 已經拿下了壓倒性的勝率
[02:34] 執政聯盟這一次自民黨
[02:36] 單獨就已經獲得三分之二以上的席次
[02:39] 已經創下戰後單一政黨的最佳成績
[02:43] 讓他成為目前當前權力最為穩固的日本領導人
[02:47] 原本自民黨在去年
[02:48] 因為還陷入低潮
[02:49] 大家還記得去年有參議院改選
[02:52] 但是他在接任之後
[02:53] 居然可以在短短的不到一年內迅速翻盤
[02:56] 這一次勝選也等同於替他的擴張性財政政策
[03:00] 和更為強硬的外交立場來背書
[03:02] 包括在國際議題上對於中國的態度轉硬
[03:05] 挺臺立場的明確等等
[03:07] 那市場當然很快就出現了高市行情
[03:10] 日經指數已經受到非常顯著的買盤推升
[03:12] 減長了一千多點
[03:13] 投資人也押注政府加強支出
[03:16] 放慢升息節奏
[03:17] 同時間讓日本股市有進一步偏強
[03:20] 日元偏弱
[03:21] 債券沉壓的味道
[03:22] 當然他其實很早之前就已經說過
[03:25] 他對於弱勢日元
[03:27] 基本上表達的是不受匯率擺動的強韌激進
[03:31] 他並不代表一定要升或者一定要貶
[03:34] 而是不要因為匯率的因素
[03:36] 而大幅改變到當前的貨幣政策環境
[03:39] 外界也會緊盯
[03:40] 因為當時他最大的一個承諾
[03:42] 就是要讓食品消費稅暫時歸零兩年
[03:46] 如果減稅政策馬上上路以後
[03:48] 馬上日本政府的塑造稅收都會因此而上市
[03:51] 那最後呢
[03:52] 到底要如何平衡當前的財政情況
[03:55] 我們後續做更進一步追蹤
[03:56] 可是可以迎來的事情是
[03:58] 高市現在已經迎來了
[03:59] 史詩級最大規模的權力擴張
[04:02] 當然同時間我們也看到
[04:04] 因為現在執政聯盟已經有352席
[04:07] 遠遠高於過半所需要的233席
[04:10] 整體仍然維持高強度多數
[04:12] 那接下來即便參議院
[04:14] 即便釋出一些杯葛表態
[04:17] 基本上也很難阻擋目前高市的權力擴充套件
[04:20] 我們過去跟投資朋友提過
[04:22] 你有233席就已經過半數了
[04:24] 眾議院基本上就可以透過
[04:26] 高市希望透過的預算案或者法案
[04:28] 243席就已經是穩定多數
[04:31] 獨佔各個常委員會委員長的職位
[04:35] 261席就可以達到絕對多數
[04:38] 執政黨的部分
[04:39] 基本上就會確保過半數
[04:41] 本黨議員只要透過法案
[04:43] 基本上就已經直接過了
[04:45] 310席要達到修憲門檻
[04:47] 這一次是352席
[04:50] 所以基本上就連要修憲都沒有太大的問題
[04:53] 那現在呢
[04:54] 大家更為關注的
[04:55] 也就代表著高市所有的政策
[04:57] 即將都可以有更進一步的權力通道釋出
[05:01] 不管是從總量指標
[05:02] 預算支出會創高
[05:04] 預期的稅收可能會創高
[05:06] 不過要看消費稅的變化
[05:08] 科技成長
[05:09] 國防安全和彌生不度等部分
[05:11] 即將統一實施
[05:13] 對於日本股市
[05:14] 那就是一個標準的結構性分化
[05:16] 也不是說單邊的多空
[05:18] 因為畢竟現在高市最大的一個政見
[05:21] 就是擴張財政當中的國防支出
[05:24] 半導體以及能源政策轉向
[05:25] 那理論上對於軍工股
[05:27] 對於裝置股
[05:28] 對於先進製造
[05:29] 還有電力以及部分的出口族群
[05:32] 都顯著的拉抬
[05:33] 但是同時間呢
[05:34] 對於那種高股息
[05:36] 低成長
[05:36] 防禦性的股票
[05:37] 可能就會失去殖利率的優勢
[05:39] 因為日本股市未來要創高
[05:41] 接下來很明顯就是由政策題材
[05:43] 和資金行情來做驅動
[05:45] 企業能否跟上利率中樞抬升的速度
[05:49] 指數就可能震盪了
[05:50] 因為我們預估的是股市上漲
[05:52] 但是債券殖利率也有可能會因此而上漲
[05:54] 事實上我們看到
[05:56] 這一次國防是高市當前的重點發展行業
[05:59] 高市已經提出多項的財政和貨幣政策之外
[06:02] 另外著重於半導體國防和核能
[06:05] 其中國防政策最大目標
[06:07] 就是把國防預算GDP增加2%
[06:10] 26年的國家安全保障戰略相關限制
[06:13] 會研發相關新型潛艇
[06:15] 遠距離的打擊能力等等
[06:17] 那當然最不會直接受惠的
[06:19] 就是國防供應概念股
[06:20] 其實在上禮拜
[06:22] 我們才看到白宮宣佈要調整
[06:25] 對於外軍售的排序規則
[06:27] 過去本來是先下單先排隊
[06:29] 這個很正常
[06:30] 商業邏輯
[06:31] 最近已經改為國防支出高
[06:33] 區戰略價值高的國家優先
[06:36] 那理由很簡單
[06:37] 因為現在川普認為
[06:38] 美國的軍工的產能其實相當吃緊
[06:41] 訂單塞車很嚴重
[06:42] 包括交付延遲都已經變成常態
[06:45] 所以新秩序要把產線優先留給戰略權重高
[06:49] 出手金額大的客戶
[06:51] 同時間也服務國內的軍工產業和國安目標
[06:54] 代表其實未來的軍售
[06:56] 也不是說單純的商業流程
[06:58] 它是很明確的把地緣政治和國防投入的強度來排序
[07:02] 我們從國防支出佔GDP佔比
[07:05] 其實臺灣是名列前茅
[07:06] 僅次於新加坡
[07:08] 新加坡大概是3.2%
[07:10] 臺灣在去年已經高達2.85%了
[07:12] 南韓的部分是2.3
[07:14] 日本其實是最落後的
[07:16] 有1.8%
[07:17] 所以高市第一個目標
[07:18] 是在2026年提升到2%以上
[07:21] 這也就代表著
[07:22] 基本上未來大家就開始
[07:24] 陸續搶卓訂單
[07:25] 那同時日本的快速跟進
[07:27] 在高市的推動以下
[07:29] 應該非常有利於
[07:30] 日本國內的軍工概念股
[07:31] 其實早在過去幾任首相
[07:34] 我們看到日本首相
[07:35] 對於國防支出戰
[07:37] 一般預算佔比的比例
[07:38] 就已經慢慢在提升了
[07:40] 安倍是5.3%
[07:42] 那建議委下滑到5%以後
[07:44] 岸田文雄直接跳升到7%
[07:46] 石破茂則是跳升到7.5%
[07:48] 那日本國防支出今年看起來達到2%
[07:51] 不會有太大的一個難度啦
[07:54] 不過從國防支出重點來看
[07:56] 它畢竟相對於過往的日本國防預算
[08:00] 從預算比例
[08:01] 是從原本4%是直接跳到接近有12%好 這也就代表著基本上它還是翻了接近有三倍左右整體國防支出上看有10兆日元
[08:12] 這對於日本軍工股
[08:14] 會有非常顯著的拉抬效果
[08:16] 事實上我們看到
[08:17] 日本國防的採購金額當中
[08:19] 其中排名最前面的像是
[08:22] 701的三菱重工
[08:24] 川崎重工
[08:25] 三菱電機
[08:26] 過去作為主要採購貴項
[08:28] 大家看一下股價圖已經看得出來
[08:30] 整體採購的金額已經形成
[08:32] 5年到10年軍工龍頭企業的長期訂單
[08:36] 和股價推升
[08:37] 那當然隨著軍工產業的拉昇
[08:40] 科技力的一個投入
[08:41] 基本上是不能夠減弱的
