[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 但大多數個人的實際觀點
[00:32] 都會在我們的會員系統
[00:33] 和聽友會當中來做分享
[00:35] 短期波動永遠都會變來變去
[00:37] 長期則是依循著某些規律
[00:39] 我們在聽友會當中
[00:40] 就是去尋找這樣的規律
[00:41] 如果大家對我們的直播內容
[00:43] 有興趣的話
[00:44] 歡迎可以來到我們的網站
[00:45] 來下取訂單
[00:46] 那本週六晚上八點鐘
[00:48] 就可以線上直播一起收看
[00:50] 當然如果對於我們的內容
[00:52] 更有興趣
[00:52] 也可以直接加入我們的會員系統
[00:54] 裡頭除了有未來一整年的
[00:56] 聽友會的收聽權
[00:57] 也會有個人資產部位周知的分享
[01:00] 一些專題影片和宏觀專業報告
[01:02] 我們過去講過
[01:03] 這個投資
[01:04] 它並不是一個標準的有限遊戲
[01:06] 它類似無限遊戲
[01:08] 人類有兩種遊戲方式
[01:10] 一種是有限遊戲
[01:11] 比如說下棋和戰爭
[01:13] 有些遊戲就是有明確的邊界
[01:16] 它有開始就會有結束
[01:17] 可是世界上大部分的遊戲都無限遊戲
[01:20] 就是它沒有邊界的
[01:21] 就是一個遊戲玩著玩著
[01:23] 它就變成了下個年頭
[01:25] 下下個年頭一直玩的遊戲
[01:27] 人生活著活著發現
[01:29] 自己每個階段的任務不同
[01:31] 其實投資也是如此
[01:33] 其實在過去我們看到
[01:35] 無限遊戲
[01:36] 就是除非你是要把這筆錢全部賣掉
[01:40] 股市套現
[01:41] 拿出來消費
[01:42] 不然你就算賣了股票
[01:44] 其實你也終究要回到市場
[01:45] 你只找一個好的時間點投入
[01:48] 不斷的迴圈滾動
[01:49] 像一個沒有終點的遊戲
[01:51] 所以除非這輩子每一次投資都賺錢
[01:53] 要不然隨著自身資產轉移的次數越多
[01:57] 有時候你輸一次
[01:58] 就可以把之前賺的全部給輸掉
[02:00] 唯一避免這種情況的方式
[02:02] 就是減少自身需要大幅轉移資產的次數
[02:06] 去做那些一次決策就足夠的投資
[02:09] 所以我們才講說
[02:10] 投資也許不是一定要靠判斷
[02:13] 投資應該要依循週期才對
[02:15] 也就是進行長期投資
[02:17] 高低基期來調節你的資金部位
[02:20] 當然這並不代表
[02:21] 你不用關注手上的持股或者ETF
[02:24] 我們的目標是減少轉移資產的次數
[02:27] 我們過去跟投資朋友提過
[02:28] 其實一般人
[02:29] 尤其對富二代來看
[02:31] 吃喝玩樂是不會讓你破產的
[02:34] 真正會讓你破產的就三件事
[02:36] 第一就投資
[02:38] 第二是創業
[02:39] 第三是結婚
[02:40] 這叫破產三件套
[02:43] 所以投資失敗
[02:45] 那個金額的衝擊
[02:47] 遠遠比你吃喝玩樂還要多非常多
[02:49] 創業也是
[02:50] 結婚也是如此
[02:51] 所以雖然說
[02:52] 投資創業結婚是破產的三件套
[02:55] 但它也是成功的三件套
[02:57] 那基本上
[02:58] 我們儘量在本節目當中
[02:59] 可以給大家更進一步的投資思維
[03:02] 那我們回過頭來看
[03:03] 如果美國股市回過頭看
[03:05] 最近的回跌
[03:07] 因為昨天是創下歷史新高之後回跌
[03:09] 我們待會會細談一下
[03:10] 最近所公佈的小飛農ATB就業資料
[03:13] 以及最新的職位空缺數
[03:15] 是否有持續軟化的空間
[03:17] 可是大家更為關注的是油價
[03:19] 油價快要破底了
[03:21] 最新我們看到西德州雲油價格在昨天下跌了2%
[03:24] 每桶收在55.99塊
[03:27] 快要破12月初那一波的低點
