[00:00] 欢迎收听谷爱,我是圣梦公,本集节目由Sally赞助
[00:02] 不知不觉一年过了快一半,时间真的是过很快
[00:05] 最近不少人开始在看端午联交,去哪里玩,甚至有些人行程都排好了
[00:09] 简单说就是人还在公司,但脑子已经在机场
[00:12] 这种时候会发生一件固定的事,出国需求开始上来,然后同一个老问题一起回归,网路
[00:17] 很多人行程排得很满,机票,饭店,景点都研究得很细
[00:21] 但最容易出事情的是最基本的网路
[00:23] 到当地的才发现没有网路
[00:25] 导航卡住
[00:26] 轿车失败
[00:27] 餐厅找不到
[00:28] 整趟旅行变求生模式
[00:29] 现在比较省事的方法是eSIM
[00:31] 像Sally的eSIM
[00:32] 出国前先设定好
[00:33] 落地直接连线
[00:34] 不用换卡
[00:35] 不用找针
[00:35] 也不用在机场翻行礼
[00:36] 流量可以在APP里面直接看
[00:38] 用完在家就好
[00:39] 不用整张重来
[00:40] 再加上VPN广告阻挡
[00:42] 基本上把出国最容易遇到的那一段
[00:44] 全部处理掉
[00:45] 比较新的变化是
[00:46] iOS26也开始支援原生eSIM自动切换
[00:49] 出国时会自动启用旅游方案
[00:51] 回国再切回本地的门号
[00:53] 整体又再少了一步的操作
[00:55] 如果说你六月已经在看机票
[00:56] 那网络这件事情
[00:57] 可以先把它处理好
[00:58] 先下载Sally App
[00:59] 输入优惠代码GOOAYE
[01:01] 或是透过资讯栏的链接
[01:03] sally.com slash GOOAYE
[01:05] 想包五折的优惠
[01:06] 在云天可以收到的朋友们
[01:07] 那参加完今年的Computax
[01:09] 觉得是收获非常多
[01:10] 我觉得今年的展会
[01:11] 可能是我在过去的两三年
[01:13] 最喜欢的一场
[01:14] 那当然今年的展会呢
[01:15] 在网络上也有很多讨论
[01:16] 你要知道其实每个东西都一定丢出来
[01:18] 会有正方跟反方的一些意见
[01:20] 那一般反方的意见都会被放到很大
[01:22] 然后大家就会觉得说
[01:23] 是不是可能不太好啊或什么的
[01:25] 然后就会有人开始出来hater
[01:27] 出来干屌什么有的没有的
[01:28] 那像比较常看到一些讨论在讲说
[01:30] 什么像computax已经不纯粹了
[01:32] 已经不是什么厂商去那边换名片了
[01:34] 是一堆什么死老百姓也会跑进去
[01:36] 然后再就是有人讲说
[01:37] 有一些什么追星仔也会跑进去
[01:39] 他根本就不懂产业或什么的
[01:40] 其实我觉得这是好事情
[01:41] 就是当然可能对里面一些去做demo的人来说
[01:44] 他会觉得说
[01:45] 他会有蛮多的无效尝试
[01:47] 我跟一个死老百姓解释了半天
[01:49] 你也不会买我们的东西
[01:50] 那我干嘛跟你解释
[01:51] 可是这个某个程度上
[01:52] 就是出圈的意志
[01:53] 那就像是我的节目
[01:54] 因为希望说
[01:55] 从头到尾都跟大家讲一些
[01:56] 我们真的在市场里面做的东西
[01:58] 可是为什么我每次讲到周边
[01:59] 我都会跟大家讲说
[02:00] 你们还不懂
[02:01] 我先去买紫素
[02:01] 因为我知道我的节目
[02:03] 他妈很多死老百姓
[02:04] 因为我们就出圈了
[02:05] 出圈的时候
[02:06] 就是会有一些
[02:07] 怎么讲
[02:08] 就是说他并不是可能
[02:09] 对这个东西研究很深的人来听
[02:11] 他听你的做法
[02:12] 他去做
[02:13] 他真的可能会BBQ
[02:14] 他会爆炸
[02:14] 就像有一个大妈
[02:15] 如果他真的跟人讲说
[02:16] 那个server rack
[02:17] 给我来一rack
[02:18] 他真的有他妈一亿
[02:19] 他要跟你买的话
[02:19] 你卖他吗
[02:20] 你就很怪嘛
[02:21] 所以你会跟他讲说
[02:22] 你还是去买隔壁的RTX Spark就好了
[02:24] 就是有点类似那样子的感觉
[02:26] 那没有办法
[02:27] 就是人多了之后
[02:28] 就一定会有这样子一个情形
[02:29] 那我觉得
[02:30] 其实对于第一线的人员
[02:31] 他们可能会很干掉
[02:32] 因为觉得说
[02:32] 花很多时间去做无效沟通
[02:34] 可对老板来讲
[02:35] 大家一定是很开心的
[02:36] 因为这么多人来参与
[02:37] 那其实是让整个
[02:42] 因為可能是一個大媽一個阿姨
[02:44] 或是一個小弟什麼高中上來聽
[02:46] 可是你不知道他背後爸爸是誰
[02:47] 搞不好回去跟爸爸說
[02:48] 爸爸我覺得這很酷
[02:49] 然後他們就直接
[02:50] 在他們的公司建一個
[02:51] Enterprise Server之類的
[02:53] 所以很難說我覺得就這樣比較去
[02:55] 怎麼講以偏概全或是以貌取人
[02:57] 然後看到人家怎麼樣
[02:58] 然後說一堆死老百姓來看展
[03:00] 或什麼不純粹的或啥小
[03:02] 不知道我覺得這是一個很怪的討論
[03:04] 當然有些人講的像什麼
[03:05] 一堆追星族這個
[03:07] 我是只會覺得說人太多
[03:09] 可能會有一些煩躁
[03:10] 但也不會真的覺得討厭
[03:11] 因為黃文勳他就真的變Superstar
[03:14] 一個白髮阿伯
[03:15] 然後走在台北的路上
[03:16] 每個人跟追韓國什麼
[03:19] 完了我現在如果講韓團
[03:20] 大家知道我年紀很大
[03:21] 我只想得到Super Junior
[03:22] 我不知道他媽最新的是誰
[03:23] 反正就像是這樣
[03:25] 就大家看到這個白髮阿伯
[03:26] 就High了
[03:27] 高潮噴水要看他什麼的
[03:28] 所以你沒有辦法
[03:30] 就是他在這個地方會出行
[03:31] 當然就會有一堆他的追星族來
[03:34] 甚至是你到現場去看
[03:35] 你就覺得整個Computex
[03:37] 當然我主要是聚焦在
[03:39] 一館四樓的部分
[03:41] 好像說是黃人勳的塗鴉牆一樣
[03:43] 就是你走到哪都會看到他的簽名
[03:45] 真的走到哪都是人勳哥的簽名
[03:47] 當然有些簽名不一定是說
[03:48] 他今年走到哪就是故意要
[03:50] 這個地方要留下一點痕跡之類的
[03:51] 可能是去年的大家把一樣的背板
[03:53] 或者說曾經被他簽過的產品拿出來
[03:55] 但你真的走到哪就發現說
[03:57] 其實computex.com
[03:58] 這個是人勳展
[03:59] 你走到哪都是人勳的東西
[04:01] 有些人也對這個很感冒
[04:02] 就是說是怎樣怎麼全部來追星
[04:04] 但我覺得大家要放寬心
[04:05] 就是這個東西走出來讓大家明白
[04:08] 同時越來越多
[04:10] 感觉是不相关的人介入
[04:11] 就代表说
[04:12] 其实你这个东西是红了
[04:13] 你已经不是圈内
[04:14] 自己人在玩了
[04:15] 那他也会额外的
[04:16] 产生很多机会
[04:17] 大概这样
[04:18] 那可能就是第一线
[04:19] 去做解释的人
[04:20] 会稍微的烦躁一点
[04:21] 但老板们
[04:22] 我相信是非常开心的
[04:23] 那我对于这次的展会
[04:25] 我也是觉得是开心的
[04:27] 因为看到了蛮多
[04:28] 我认为跟过去的
[04:29] 一两年比起来
[04:30] 怎么讲
[04:31] 我自己是很相信
[04:32] 未来科技的人
[04:33] 我也是相信说
[04:34] 科技可以产生很多
[04:35] 很酷文性的变化
[04:36] 可是当整天
[04:37] 都在跟我打高空的时候
[04:38] 我自己会雷达大响
[04:41] 我就觉得很奇怪
[04:42] 你怎么在跟我讲一些
[04:44] 未来怎么样
[04:45] 我很讨厌听到人家开口必有
[04:47] 就未来未来未来这样
[04:48] 你直接告诉我说
[04:49] 现在可以做什么
[04:49] 因为如果现在可以做的东西
[04:51] 就像说类似我们玩手游
[04:53] 你知道吗
[04:54] 那个卡片有时候你多抽几张
[04:55] 那你点到加三之后
[04:57] 它就直变
[04:57] 什么叫直变
[04:58] 它可能CD少两回合之类的
[05:00] 光这样子
[05:01] 那就会造成非常巨大的一个改变
[05:03] 所以其实你只需要把你的生产力
[05:05] 持续的往上点
[05:06] 点到某个地方
[05:07] 就会开枝散叶
[05:09] 就会产生很多
[05:10] 新的应用跟可能性
[05:11] 你不用坐在那边
[05:12] 跟大家讲说
[05:12] 来我们想想
[05:13] 下一个未来是怎么样
[05:14] 因为我觉得
[05:15] 那个是很好笑的
[05:16] 你在AI的第一年
[05:17] 这样做可以
[05:18] 可是在第二年第三年
[05:19] 像之前还是会看到
[05:20] 很多的什么机械狗
[05:21] 或是很多
[05:22] 不明所以然的AI应用
[05:25] 就会觉得
[05:26] 搞不好真的有泡泡
[05:28] 存在的可能性
[05:29] 会不会真的
[05:29] 后面要泡沫化之类的
[05:31] 但像今年的话
[05:32] 就不会给你
[05:33] 这样子的一个感受
[05:34] 今年看下来
[05:35] 每個東西都是超級實際的
[05:37] 而且是真的會讓你看完
[05:39] 就是說Shut up take my money
[05:40] 就是我要直接跟你買下來太帥了
[05:43] 首先非常感謝邀我去看展的各路好朋友們
[05:46] 其實是真的非常多人都會來邀展
[05:49] 只是小弟沒有這麼多的時間
[05:51] 所以我就是去找
[05:52] 可能當年最早找我的這些人
[05:55] 我就是每年都是跟他們的
[05:56] 所以非常感謝像是NVIDIA的小金
[05:59] 非常感謝ASUS ROG的Mickey
[06:01] 還有像MediaTek的Jennifer
[06:03] 他以前是在AventTech
[06:05] 那時候也是透過他去看東西
[06:07] 然後因為他現在要跑到MediaTek
[06:08] 他要找我去我就跟著去看
[06:10] 然後在MediaTek的攤位上
[06:12] 我不知道有這麼多的地方聽
[06:13] 然後各位大哥大姐們
[06:15] 非常感謝跟小弟解釋這麼多東西
[06:18] 那所以就是抓這些重點
[06:19] 去把它稍微看一下
[06:20] 跟大家分享自己的心得
[06:22] 那首先一大早
[06:23] 我們是先跑到NV Enterprise
[06:24] 它是辦在TICC
[06:25] 其實NV他們現在是很有想法
[06:27] 因為東西可能太多要展
[06:28] 那所以他們都會去搞自己的私展
[06:30] 那在TICC這個你是憑證就可以一起去看
[06:33] 如果是在焊來的消費的話
[06:35] 你是沒有辦法去評證
[06:36] 你要透過可能有官方人員邀請你的話
[06:39] 那就可以去看
[06:40] 我兩個都有跑去
[06:41] 那先講一下Enterprise的心得
[06:42] 其實Enterprise整體來說
[06:44] 跟過去幾年是差不多的
[06:45] 今年我們想看的一些重點是
[06:48] 就像說像Power Rack有沒有一些展出
[06:50] 因為已經有看到一些朋友去拍
[06:51] 那個超級電容超大一顆的
[06:53] 難怪可以一顆賣到
[06:54] 可能以前的ASP的快100倍這樣子
[06:56] 因為它的尺寸也是大大概5倍左右
[06:59] 然後再來就是可能會想看
[07:01] LPU上面有沒有什麼一些新的
[07:03] 可能Gadget在上面
[07:04] 是我們過去沒有注意到的
[07:06] 或是一些光通的東西
[07:07] 那我注意到今年有蠻多東西
[07:09] 他是把它封起來
[07:10] 像LPU的話你就只看得到
[07:12] 就是黑媽媽的一片
