[00:00] 投資變化收聽早晨財經速解讀
[00:03] 現在是臺北時間2026年3月2號禮拜一
[00:05] 早上8點31分
[00:07] 大家早上好我是停號
[00:08] 每一場開完前半小時
[00:09] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:13] 那經過兜兜轉轉回到臺灣
[00:16] 雖然歷經波折
[00:17] 非但滿天飛啊
[00:19] 但也祝大家都平安
[00:20] 新的一年一定要平平安安
[00:22] 沒有股市在上禮拜五揮達重挫4%
[00:26] 非半超跌1%以後
[00:28] 事實上也看到這一波的AI財報
[00:31] 似乎對於美國股市指數股的拉昇
[00:34] 其實效果是有限的
[00:36] 反而大家更為聚焦的是
[00:37] 在本週我們看到美國空襲伊朗以後
[00:41] 中東戰火的全面升起
[00:43] 到底會如何影響到
[00:44] 接下來的地緣政治表現
[00:46] 對於美股的賣壓
[00:47] 對於油價的提升
[00:49] 尤其針對大宗資產價格的影響
[00:51] 黃金在幾周之前才遭遇重挫
[00:54] 現在買盤似乎重新歸來
[00:56] 今天就來跟投資朋友做一些觀察
[00:58] 事實上美國和以色列這一次所聯合發動的空襲
[01:02] 已經造成了伊朗最高領袖哈梅尼的身亡
[01:05] 使得原本已經緊張的中東局勢再度升溫
[01:08] 那現在呢伊朗官方已經證實
[01:10] 哈梅尼死亡以後全國捱到40天
[01:14] 後續隨著衝突升級啊
[01:16] 越來越多的郵輪開始避開荷姆治海峽
[01:18] 第一個就是全球的供給鏈緊張是否會重新出現
[01:22] 大家知道現在AI已經大缺貨了
[01:25] 是否會導致接下來大宗資產的價格上漲
[01:29] 進一步引發通膨市場預期
[01:31] 以色列宣稱攻擊了500個軍事目標
[01:34] 耶朗也指出這一次的空襲
[01:36] 造成了數百人的死傷
[01:38] 並誓言要報復
[01:39] 那到底是口頭上的表示
[01:41] 還是說接下來有和談的可能性
[01:44] 不過這幾個月
[01:44] 川普似乎已經透露出他的軍事行動模式
[01:48] 禮拜六睡覺
[01:50] 你在滑手機的時候
[01:51] 通常覺得完了
[01:53] 禮拜一股市要大跌了
[01:55] 結果禮拜天早上起來看
[01:56] 哈明你死了
[01:57] 禮拜一股市是比較大漲了
[01:59] 通常都是川普在禮拜五或者禮拜六的時候
[02:03] 釋出軍事行動
[02:04] 讓大家稍微金融市場能夠有兩天的喘息期
[02:08] 週一開盤前結束戰爭
[02:10] 所以對於股票市場影響
[02:12] 其實多數人都知道
[02:13] 可能就是一個短時間的調整
[02:15] 大家更為在乎的是油價上漲到什麼樣的一個地步
[02:19] 畢竟你即便淡化了金融市場的反應
[02:22] 的確股市最終要反映什麼
[02:24] 他要反映的是基本面碼
[02:26] 還是AI好不好
[02:27] 但是他可能會改變市場的通膨預期
[02:30] 進而壓抑到今年的降息預期的碼數
[02:34] 這一次我們看到
[02:35] 川普表示會持續針對伊朗
[02:38] 來採取軍事行動之後
[02:39] 亞洲盤
[02:40] 昨天我們看到油價就已經開始蠢蠢欲痛了
[02:43] 這個剛剛亞洲盤一開
[02:46] 油價一度飆漲了13%
[02:48] 市場擔憂全球在能源供給
[02:51] 可能受到嚴重干擾之後
[02:52] 布蘭特原油價格
[02:54] 一路衝高到82.3塊
[02:56] 創下7個月以來新高
[02:58] 這本來原油價格
[02:59] 從2022年以來
[03:00] 它就是一個標準的長空
[03:02] 這一次在前幾個月
[03:04] 其實就已經陸續占上所有均線了
[03:06] 可是還在一個長期的主體格局
[03:08] 它基本上還是圍繞著下行趨勢線
[03:11] 可是這一波
[03:12] 不管是布蘭特原油突破82.3塊
[03:15] 希德州原油大漲9%
[03:17] 每桶來到72塊
[03:18] 這種原油價格的顯著攀升
[03:20] 一旦保持一個季度
[03:22] 馬上就要傳進到CPI
[03:24] 以及汽油價格了
[03:26] 尤其禮拜六
[03:27] 大約還有2000萬桶的石油
[03:30] 經過荷姆茲海峽
[03:31] 但這個禮拜數字可能會直接降到零
[03:34] 原因不一定單純是我們看到
[03:36] 現在一輛準備要佈雷
[03:38] 或者郵輪即將被攻擊
[03:40] 而是倫敦等戰爭風險的保險城堡人
[03:43] 現在在這一次行動之後
[03:46] 開始撤回航行保險
[03:48] 金融時報的報道指出
[03:50] 戰爭保險費率
[03:51] 大概已經大漲了接近50%
[03:53] 很多航運公司
[03:55] 紛紛轉為觀望
[03:56] 因為你沒有保險
[03:58] 幾乎不太可能讓郵輪
[03:59] 進入到戰區來航行
[04:01] 現在戰爭保險的基準費率
[04:03] 大概是整體船體價值的0.25%
[04:06] 如果一艘價值1億美元的郵輪
[04:09] 一趟航行的保費
