[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 川习会有过高的期待
[00:31] 觉得能够藉由
[00:33] 适度打开市场
[00:34] 或者藉由关税的松绑
[00:36] 来进一步压抑通膨
[00:37] 或者在中东战局
[00:39] 传出好消息呢
[00:40] 好看起来
[00:41] 现在对于市场而言
[00:42] 利空都已经不再是利空了
[00:44] 昨天没有股市
[00:45] 标普和纳指
[00:46] 持续创下历史新高
[00:48] 肺瘢也大涨了
[00:49] 接近2%
[00:50] 不过呢
[00:51] 十年期国债殖利率
[00:52] 也创下了今年新高
[00:54] 这代表着
[00:55] 同步对于通膨预期的升温
[00:57] 和股市资产的炒作
[00:59] 居然在同步进行当中
[01:00] 那今天就特别值得我们来做一些留意了
[01:03] 那川普的部分
[01:04] 在昨天已经正式抵达北京
[01:06] 展开九年来
[01:07] 美国总统首次进行国事访问
[01:10] 那这一次为期36小时的川习会
[01:13] 表面上我们当然看到是贸易和商业谈判
[01:16] 但背后的背景
[01:17] 有伊朗战争的问题
[01:18] 有中东能源危机
[01:20] 有全球供应链和科技冷战的全面升级
[01:23] 那这一次
[01:24] 中国国家副主席韩正是亲自接机
[01:27] 北京更是安排了红毯一队
[01:30] 还有大量的徽旗学生
[01:31] 大家一起喊
[01:33] 林爷爷您回来
[01:35] 不是川普先生您回来了
[01:36] 因为已经有七年多左右
[01:38] 应该超过七年了
[01:40] 可能上一次是2017年
[01:42] 可能快要十年了
[01:44] 川普隔了十年终于回到中国了
[01:47] 大量的学生一起挥舞旗子
[01:49] 真正的关键会谈
[01:51] 会在人民会堂
[01:52] 习近平和川普会正式的进行展开
[01:55] 那在昨天晚上抵达以后
[01:57] 今天待会十点钟
[01:59] 人民大会堂就会举行欢迎仪式
[02:01] 然后到十点十五分
[02:04] 就会跟习近平来做会面
[02:05] 下午六点会跟他一起出席国宴
[02:08] 然后明天早上喝完早茶
[02:11] 就可以共进午餐
[02:12] 最后下午的时候离开北京
[02:14] 好那不过我们值得观察
[02:16] 川普这一次显然也不是空手而来
[02:18] 他在飞往北京途中已经公开表示
[02:20] 自己第一个要求
[02:22] 就是要求习近平开放中国市场
[02:25] 让美国企业真正能够进入中国来做生意
[02:28] 翻译就是习主席请缴税
[02:32] 希望中国开放
[02:34] 但美国还在用关税
[02:36] 我不给你进来
[02:37] 但你要给我进去
[02:39] 听起来怪怪的
[02:39] 但是以前中国也是这样子做
[02:41] 非关税的贸易壁垒
[02:43] 我们到中国加入WTO以后
[02:44] 其实有非常多的具体贸易措施
[02:47] 并没有全面打开
[02:48] 所以你看到MasterCard
[02:50] 我们看到Visa
[02:51] 我们看到脸书
[02:52] 我们看到Google
[02:53] 大多数的美国企业
[02:55] 在过去20年当中
[02:56] 基本也无法成功的进入到美国市场
[02:58] 那现在川普只是还回去嘛
[03:00] 虽然我现在是用关税在锁国了
[03:02] 不过我也希望你开放
[03:03] 这就是我希望的
[03:04] 那这一次陪同的企业阵营
[03:07] 我们过去也提到
[03:08] 其实内容或者说包含的人物非常庞大
[03:11] 昨天看到嘛
[03:12] 像是伊隆马斯克
[03:13] 然后昨天黄仁勋也赶上飞机了
[03:17] 有库克
[03:18] 有波音执行长
[03:20] 有苹果有特斯拉等工业巨头
[03:22] 其实双方针对这一次
[03:25] 这么庞大的这种代表团
[03:27] 大家对于获得的订单
[03:29] 其实也有非常高的期待
[03:31] Jensen是睡过头
[03:32] 但好险最后压轴又赶上飞机
[03:34] 不知道这一趟旅平险要怎么接
[03:36] 当然看到这个名单
[03:38] 其实我们也不要小看自己
[03:40] 我跟图上这些人的经济实力加总
[03:43] 也足以撼动全世界
[03:44] 以前是日本是黑船
[03:47] 现在是黑机
[03:48] 就大量的资本团
[03:50] 尝试打开中国市场
[03:52] 当然这次川习会登场
[03:53] 有几个角度
[03:54] 第二个角度是我们昨天所提到的
[03:56] 中东战局让伊朗问题的升温
[03:58] 加上美国内部通膨的拉伸
[04:01] 是当前中方是否能够
[04:03] 对于伊朗局势有所干预的空间存在
[04:06] 所以一方面
[04:07] 如果美伊双方的确还是拥有冲突
[04:10] 两种角度
[04:11] 一种是促成中东的和谈
[04:13] 另外一种是希望中国
[04:14] 不要继续透过石油采购
[04:16] 资金和技术来支援伊朗
[04:18] 让这场战局在美国的施压下尽快的结束
[04:22] 那第二个就是关税战
[04:23] 虽然去年10月份已经达成了关税的休战协议
[04:27] 但双方对于彼此的高额关税其实还是存在的
[04:30] 美国对于中国的平均税率仍然远远高于日韩等国
[04:34] 现在平均税率大概在30到35%左右
[04:37] 那川普政府也没有真正完全放弃贸易战
[04:40] 只是暂时的降低火力
[04:42] 避免全球供应链再度大乱
[04:44] 那应该在中期选举之前不太可能
[04:46] 可是有没有可能再度解除301条款等关税
[04:51] 让中国的关税下滑
[04:53] 这对于台厂影响就很大了
[04:55] 我们过去都期待转单效应
[04:57] 美中打得越凶
[04:58] 18年以来打得越凶
[05:00] 好像台湾越获利
[05:01] 如果这个时候降低中国关税
[05:03] 对于电子零组件
[05:04] 对于自通讯产品影响不大
[05:07] 因为根本就没关税
[05:08] 重点来自于
[05:09] 那传产好不容易到手的相对低额的关税
[05:13] 又重新抽到冲击了
[05:14] 再来就是芬太尼问题
[05:16] 芬太尼是少数双方具有显著合作空间的一体
[05:20] 过去川普以中国为有效打击芬太尼为理由
[05:24] 对于中国施加了额外的芬太尼关税
[05:26] 不过去年就已经进行解除了
[05:29] 如今中国在川普访中前夕
[05:31] 还刻意宣布跟美国联手破获跨国的毒品网络
[05:35] 也被外界视为向美国释出善意
[05:38] 川普最后想要的到底是什么
[05:40] 市场预期这次峰会结束之后会有大量的商业订单
[05:44] 可能会大幅影响到股价
[05:45] 包括中国重新大量的采购波音飞机
[05:48] 美国农产品
[05:50] 能源和牛肉
[05:51] 白宫甚至直接点出了农业
[05:53] 航太和能源都在谈判清单上
[05:56] 那现在普遍预估会有五个B
[05:58] 哪五个B
[05:59] 这只有四个B而已
[06:04] 五个B是波音
[06:05] 然后再是Beans
[06:07] 就黄豆
[06:07] 再是Beef牛肉
[06:09] 再是Broad of Trade
[06:11] 贸易委员会
[06:12] 最后是Broad of Investment
[06:14] 就是投资委员会
[06:15] 波音黄豆牛肉贸易委员会
[06:18] 还有投资委员会
[06:19] 相关而言
[06:20] 都希望获得进一步的进展
[06:22] 不过美国官员也坦诚
[06:24] 目前并没有大型
[06:26] 中国赴美的投资计划
[06:27] 但是部分少数企业
[06:29] 已经在美国进行设厂了
[06:30] 比如说像宁德时代
[06:32] 跟德州的一些公司
[06:34] 已经开始进行合作了
[06:35] 那简单来讲就是
[06:36] 中国要买的
[06:38] 也要看美国愿不愿意买
[06:40] 因为你要消减贸易逆差
[06:41] 那你就开放GP200
[06:43] GP300
[06:44] 这是最简单的方式
[06:45] 大量的采购你的科技产品
[06:48] 其实贸易逆差
[06:48] 就可以消减蛮多的
[06:50] 不管怎么说
[06:51] AI战争已经正式浮上台面
[06:53] 那台湾问题
[06:54] 还是一个比较大的未爆弹
[06:55] 不确定川普虽然说会聊到
[06:58] 但不确定是否会
[06:59] 针对台湾问题来做谈话
[07:00] 这也是我们后续
[07:01] 可以观察的重点
[07:02] 但不管怎么说
[07:03] 川习会这一次本职的目的
[07:05] 议题涵盖非常广
[07:07] 从贸易层面
[07:08] 像关税 能源 供应链
[07:09] 贸易委员会 投资
[07:11] 还有301条款
[07:12] 到地缘政治层面
[07:13] 伊朗问题
[07:14] 台湾问题
[07:14] 中东问题
[07:15] 赫姆治海峡问题
[07:16] 制裁问题
[07:17] 石油问题
[07:18] 乌鲁问题
[07:18] 主权问题
[07:19] 最后到科技层面
[07:21] 从AI到晶片
[07:22] 出口管制
[07:23] 辉达的单一出货
[07:25] 半导体
[07:26] 稀土
[07:26] 人工智慧
[07:27] 还有电动车
[07:28] 这些议题
[07:29] 其实都看得出来
[07:30] 全球秩序正在重新谈判
[07:33] 过去美中曾经是那种
[07:34] 你生产我消费的
[07:36] 全球化合作模式
[07:37] 但现在双方都开始
[07:38] 把科技能源
[07:39] 供应链和金融和军事
[07:41] 视为国家安全的问题
[07:42] 所以这一次的峰会
[07:44] 就是要暂时降温
[07:45] 我知道我们打得很凶
[07:47] 我们也无法解决根本的矛盾
[07:49] 不过我们还是可以取得
[07:51] 短期上的互相利益
[07:53] 来维持当前的局势一阵子
[07:55] 我们知道其实中国市场
[07:57] 目前能源压力看起来没有这么大
[08:00] 主要还是来自于
[08:01] 战略储备原油相对来的高
[08:02] 可是中国的能源命脉
[08:04] 并没有想象中来得这么坚强
[08:06] 从去年的能源结构来看
[08:08] 中国大概46%的能源
[08:10] 来自于本土的煤炭
[08:11] 但石油和天然气的进口占比还是很高其中的大量的能源还是要经过赫姆斯海峡那现在伊朗封锁了赫姆斯海峡中国大概5.6%左右的整体能源供应会直接受到影响
[08:25] 那再加上美国对伊朗的制裁
[08:27] 中国能源压力还会进一步的升温
[08:29] 所以当然一方面中国会进行进一步的能源转型
[08:33] 这几年你要知道很多油转煤
[08:35] 就是他的很多塑化制品已经借由煤来进行提炼
[08:40] 而并不是石油了
[08:41] 可是呢
[08:42] 整体而言
[08:42] 它还是受到中东局势的影响
[08:44] 在中国的经济复苏过程当中啊
[08:47] 当然是不需要这种外部性的冲突
[08:49] 当然了
[08:50] 现在对于中国而言啊
[08:53] 美方的让步就特别重要了
[08:54] 因为看起来美方所求是蛮多的
[08:57] 那中方所求啊
[08:58] 一方面当然是科技管制适度的松绑
[09:01] 那另外一方面呢
[09:02] 也要了解在对等贸易层面啊
[09:05] 美国也要给予一些势头
[09:06] 那市场会关注啊
[09:08] 大家最为聚焦的就是
[09:09] 对于中国车的部分
[09:10] 我们知道在拜登时期
[09:12] 几乎已经针对电动车
[09:14] 课征200到300%的显速关税
[09:17] 现在在美国其实也买不到中国车
[09:19] 可是问题在于
[09:21] 现在如何阻挡中国汽车进入美国
[09:24] 这个问题大家都在讨论
[09:25] 因为有很多墨西哥车厂
[09:27] 已经跟中资来进行合作
[09:29] 我们举例来说
[09:29] 现在中国厂正在墨西哥快速的扩张
[09:32] 设立经销据点
[09:34] 用远低于美国新车的价格来卖车
[09:37] 像比亚迪 吉利或者长城这些品牌
[09:40] 配备齐全
[09:40] 价格大概接近美国的二手车
[09:43] 那很多边境地区
[09:44] 你知道现在在加州工作
[09:46] 很多人还住墨西哥
[09:47] 然后开车到加州工作
[09:49] 这些车已经不止是看得到
[09:50] 而且有机会使用
[09:51] 另外一方面
[09:52] 美国政府过去一直尝试着
[09:54] 透过关税进口限制和国安审查
[09:57] 来完全封堵这个趋势
[09:58] 可是随着欧洲市场逐步的开放
[10:01] 也有很多美国人开始接触到中国车
[10:03] 某种程度它算是间接进入市场了
[10:06] 当美国的新车价格持续上涨的时候
[10:08] 消费者也许就会被迫找寻更便宜的替代
[10:12] 所以在这样的效果底下
[10:13] 全球在电动车市场整体成长幅度
[10:16] 你可以看得出来
[10:17] 如果是把电动车加上插电式混合动力车
[10:20] 在中国过去几年的表现
[10:22] 整体而言
[10:23] 20年来
[10:24] 基本上05年到20年没有什么太大变动
[10:27] 可是疫情以后
[10:28] 它就瞬间整体体量已经超过了
[10:31] 日本加美国加德国的出口增量
[10:34] 这件事情就意味着
[10:35] 美国当然要进行适度的关税保护
[10:38] 可是借由某些产品适度的开放
[10:42] 尤其在电动车或者相关产品
[10:44] 也许就可以抵挡住
[10:46] 或者说抵消其他产品
[10:49] 在大量出口到中国之后
[10:51] 所形成的负面冲击
[10:52] 也就是说
[10:53] 在中国希望你能够释放一些甜头
[10:56] 也许电动车是一个值得观察的重点
[10:59] 这给投资朋友做些思考
[11:01] 毕竟现在美中会谈
[11:03] 其实也不太可能闹翻
[11:05] 毕竟你从乌鲑战争到关税到格林兰到美伊冲突
[11:11] 你还要开新战场那压力很大
[11:14] 原因就来自于解决通膨是当务之急
[11:17] 我们看这次PPI数据公布之后
[11:19] 月增幅来到1.4%
[11:21] 创下2022年以来最大单月涨幅
[11:24] 年增幅6%
[11:26] 这个就有点压力了
[11:27] 6%距离2022年的12%
[11:30] 那也就差不多走了一半了
[11:32] 这次不只是能源
[11:33] 服务业的成本也开始同步扩散
[11:35] 意味着伊朗战争所带来的油价冲击
[11:38] 已经慢慢的渗透到美国经济
[11:40] 那原本大家还有预期
[11:43] 因为川普会施压联总会
[11:45] 那如果今年没有伊朗战事
[11:47] 那未来由沃许来主导降息
[11:49] 可是现在两天期美债资利率
[11:52] 已经重新站回到4%以上了
[11:54] 那甚至市场开始定价
[11:55] 再降下去
[11:56] 那可能有被迫升息的条件
[11:59] 所以那种降息环境
[12:00] 在伊朗战事以后就完全的被打消
[12:03] 那这是危险的地方
[12:04] 因为现在市场上的资金都集中在
[12:06] AI半导体和大型科技股身上
[12:08] 形成极端交易
[12:10] 那最近市场我们看得出来
[12:12] 从市场封款买Core
[12:14] 买记忆体AI概念股的暴涨
