[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 維持一個好習慣了
[00:31] 通常每到新年
[00:32] 都是健身房人滿為患
[00:34] 然後過幾個月之後
[00:36] 熱情就消退
[00:36] 賬單自然自動扣款
[00:39] 就好像很多人的跨年願望
[00:41] 就是要早睡早起
[00:43] 結果一跨年第一天就破功了
[00:45] 所以與其我們立下
[00:47] 難以維持的決心
[00:48] 不如換一個做法
[00:49] 我們把1月2號1月3號
[00:51] 當成一個預設值的檢查日
[00:54] 我們專心去檢視那些
[00:55] 在你沒有多想的情況下
[00:57] 早就替你做好的選擇
[00:59] 反正今天大家上班都沒什麼勁子
[01:01] 那就來整理一下桌面
[01:02] 查一下車子方向盤後面的灰塵
[01:06] 開啟損益表
[01:07] 來統計一下過去一年的績效
[01:09] 下班之後記得去走兩圈
[01:11] 消耗一下熱量
[01:12] 不要去健身房
[01:13] 剛才我去了
[01:14] 人很多
[01:15] 所以我也是昨天去了才發現
[01:17] 新的一年
[01:18] 2026年要對我們放馬過來
[01:20] 我們要慢慢的調整
[01:22] 循序漸進
[01:23] 那回過頭看
[01:24] 整個25年到26年的最大轉變
[01:27] 就是牛市的第三年結束了
[01:29] 邁往第四年
[01:30] 那到底要如何來看待這個第四年
[01:32] 還是說它已經在去年的四月份
[01:35] 做好準時的回撥了
[01:37] 畢竟去年四月份
[01:38] 股票市場已經算是進入熊市
[01:40] 可是回過頭看
[01:42] 整個標普白指數
[01:43] 在整個聖誕行情並沒有完全的展開
[01:46] 在最新漲幅收鏈是到17%左右
[01:50] 七巨頭當然是全面走低
[01:51] 不過回顧這一年
[01:53] 股票市場依舊還是表現亮麗
[01:55] 核心動力就來自於市場
[01:57] 針對人工智慧長期經濟潛力的高度展望
[02:00] 但時間線既然來到2026年
[02:02] 就代表著市場給它有更高的標準
[02:05] 我們看在去年
[02:06] 不管是貴金屬資產
[02:08] 類金屬資產
[02:09] 還是非美市場表現都非常亮麗
[02:11] 而疊的一個就比特幣
[02:13] 另外一個就美元
[02:14] 再來就是油價
[02:15] 那美元疊跟油價疊
[02:18] 其實對於本國角度來看
[02:20] 都是有進一步的拉伸作用的
[02:22] 除了比特幣以外
[02:23] 所以呢
[02:24] 全球股票市場
[02:25] 連三年的雙位數字上漲以後
[02:27] 第一個落差就是我們看到
[02:29] 由於匯率因素
[02:31] 以及本國權重的落差
[02:34] 極化所造成的結果
[02:35] 我們舉例來說
[02:36] 張圖表示我們看到標普白指數
[02:39] 跟全球MSCI指數的落差
[02:41] 在過去一年
[02:42] MSCI指數漲幅是32.6%
[02:45] 標普漲幅是17.9%
[02:47] 當中的落差已經差到14%
[02:50] 也就是光是匯率的因子
[02:52] 基本上就足以讓你
[02:53] 跟非美市場拉開報酬
[02:55] 那其實在過去幾年
[02:57] 你發現從2008年以來
[02:59] 大多數年份
[03:00] 都是美國股市跑贏全球市場的
[03:02] 這件事情其實也足以彰顯
[03:04] 對於美元資產投資者
[03:06] 也許在整個2026年
[03:08] 最大風險不是美國的AI股
[03:10] 無法給你亮麗的績效
[03:11] 而是在於
[03:12] 它就算給你亮麗的績效
[03:14] 它匯率可能會導致
[03:15] 你的匯率成本大幅拉高
[03:17] 再來是全球的貨幣市場
[03:19] 隨著升值的反應不一
[03:21] 加上本國基期的區位變動
[03:24] 南韓股市是最誇張的
[03:25] 如果以美元來做計價
[03:27] 南韓股市去年一整年漲幅是95.4%
[03:31] 秘魯股市漲了86
[03:33] 西班牙漲了78
[03:34] 整體歐元區平均漲幅有40
[03:36] 其他我們看到歐亞市場平均漲幅32
[03:39] 日本漲25
[03:41] 其他臺灣市場表現也不錯
[03:43] 有28%
[03:44] 當然如果你把臺幣來做定價的話
[03:47] 漲幅稍微收斂
[03:48] 大概是24到25%左右
[03:50] 所以全球股票市場的前十強
[03:52] 幾乎全面集中在非美市場
[03:55] 或者我們講的新興市場
[03:56] 或者一些南美洲國家
[03:58] 在這樣效果底下
[03:59] 我們可以清楚知道的瞭解是
[04:01] 2026年的匯率因子
[04:03] 和AI的高估值因子
[04:05] 即將主導當年度的行情
[04:07] 不過呢
[04:08] 至少整個25年
[04:09] 從年初到年尾
[04:10] 大家都是收漲
[04:11] 我們以全球前500大的富豪
[04:13] 在過去一年是增加了
[04:15] 2.2兆美元的身家
[04:16] 總財富增加到11.9兆
[04:19] 前面的八位超級富豪
[04:21] 像是Larry Ellison
[04:22] 他是甲骨文執行長
[04:24] 大舉的投入AI基礎建設
[04:26] 一度大幅狂飆
[04:27] 不過後續股價稍微做一些均值迴歸了
[04:30] Elon Musk
[04:31] 去年也有政壇進出的訊息
[04:33] 科技事業的起伏
[04:35] 資產先跌後彈
[04:36] 最後特斯拉創下歷史新高了
[04:38] 其他像川普家族
[04:40] 也很多人靠著媒體和加密貨幣的專案
[04:42] 財富持續的膨脹
[04:44] 整體來說
[04:45] 整個25年的確相當精彩
[04:47] 那26年大家就會用一個更高估值
[04:50] 以及波動率來做看待
[04:52] 首先看的是
[04:53] CAP1標普的迴圈調整本益比
[04:56] 目前美國股市的估值
[04:58] 如果你把通膨角度算進去的話
[05:00] 大概就僅次於2000年的網路泡沫
[05:02] 那像唯一的區別在於
[05:04] 因為市場上已經知道AI的生產力週期
[05:07] 看起來比網路週期還要來得更為強勁
[05:10] 那是否願意給予更高的估值
[05:12] 或者由於美國市場受到各國投資人的青睞
[05:15] 它的估值能不能比20年前還要來得更高
[05:19] 那第二件事情
[05:20] 是來自於各國股市的本益比
[05:22] 其實也都一樣高
[05:23] 我們不能說現在是美國股市有泡沫
[05:25] 是全球股市都有泡沫
[05:27] 我們看的是整體的AI泡沫
[05:29] 能不能給它更高的估值
[05:30] 美國目前本益比大概22.3倍
[05:33] 明顯高於過去的歷史中位數
[05:35] 其他呢
[05:36] 如果你把大型科技股給扣掉
[05:38] 也有20.2倍
[05:39] 稍微偏高
[05:40] 但沒有這麼離譜
[05:41] 日本16.6倍
[05:43] 歐洲14.6倍
[05:44] 那估值其實都算是長期的高點
[05:47] 新興市場和中國分別有13.4倍和12.3倍
[05:50] 所以當中國股市
[05:52] 它的估值都高於均值的時候
[05:54] 你大概就知道
[05:55] 這是一個標準的AI的龍井期即將出現
[05:58] 當然如果是以個股漲幅來看的話
[06:01] 美國股市的報酬
[06:02] 還是主要集中在大型科技的全職股
[06:04] 納斯達克100指數以20%領跑
[06:07] 標普有17
[06:08] 不過你細看
[06:09] 羅素漲幅14%
[06:11] 美國股市是所有漲幅都輸給臺股
[06:13] 這就說明匯率因子真的非常非常重要
[06:16] 那整體由於在年底當時的波動率
[06:18] 降到極低
[06:20] 所以呢
[06:20] 基本上在年初外資歸隊以後
[06:23] 應該會適度的再度放大
[06:24] 那我們要了解的第一大方向
[06:26] 那就是這種全職過於集中的現象
[06:29] 還是有可能在2026年面臨極大風險
[06:32] 就是你即便掌握住了AI行情
[06:34] 還是要以跑書大盤
[06:36] 作為一個非常謹慎的前提
[06:38] 因為在2025年
[06:40] 很多人跑書大盤
[06:41] 不是沒有選擇到AI股
[06:43] 而是沒有選擇到對的AI股
[06:45] 所以整體績效反而落後給大盤
[06:47] 那如果回過頭來看
[06:49] 現在把標普派指數
[06:51] 跟標普等權指數當中的落差
[06:53] 標普去年是漲了17.9%
[06:55] 可是標普等權指數
[06:57] 漲幅只有11.4%
[06:58] 所以如果你分散風險
[07:00] 是以股票的個數來分散
[07:02] 那很抱歉
[07:02] 你反而會落後大盤6.5%
[07:04] 那你說如果我是買科技區巨頭呢
[07:08] 我就買這些最頂尖的CSP業者
[07:10] 你還是有很高的機率
[07:12] 可能會跑輸給大盤
[07:13] 如果你放在單一個股比重過高的話
[07:16] 更容易跑輸
[07:17] 舉例來說
[07:18] 在去年標普500漲幅是17%
[07:21] 可是Google 輝達 特斯拉
[07:23] 7只巨頭當中
[07:25] 只有3只跑贏了標普敗指數
[07:27] Google漲幅是64%
[07:29] 輝達漲幅34%
[07:30] 特斯拉漲幅18%
[07:32] 微軟只有漲15%
[07:33] 蘋果漲11%
[07:34] Meta漲10%
[07:36] 亞馬遜只有漲4.8%
[07:37] 7只巨頭
[07:39] 居然有4支跑出標普500指數
[07:43] 這其實也就意味著
[07:44] 這不管你怎麼投資
[07:46] 不管你是投493家剩下的股票
[07:48] 還是你從七巨頭當中去設費表
[07:50] 你基本上跑出大盤的可能性也非常高
[07:53] 當然回過頭看
[07:54] 這個股價似乎也跟現金流是成正比的
[07:57] 我們看這張圖表
[07:59] 你看現金流稍微比較高的
[08:01] 主要就是Alphabet
[08:02] 微軟
[08:03] 還有Meta
[08:04] 稍微比較低的
[08:05] 像Amazon或者是最近的甲骨文
[08:07] 你看到那個股價的整體賣壓就比較沉重
[08:10] 也足以說明大家對於2026年
[08:13] 其實有非常高的期待
[08:15] 這個期待是一方面能夠推出終端產品另外一方面你的財務狀況要撐得下去加上從26年到27年開始我們看SpecX或者OpenAIEntropic準備要掀起史詩級的IPO浪潮
[08:29] 全球都在大缺錢
[08:31] 現在這個就是全美三家
[08:34] 未上市的科技公司最高的股票
[08:36] 那這三家股票
[08:37] 預估了籌資規模
[08:39] 應該會高達數百億美元
[08:41] 但是這三種交易
[08:42] 應該就有機會
[08:44] 超過2025年
[08:45] 200檔IPO的募資總額了
[08:48] 那這說明
[08:48] 我們要觀察一下
[08:49] 市場對於這幾隻
[08:51] 新創企業的估值條件
[08:53] 我們如果從估值層面
[08:54] OpenAI現在預估會有
[08:56] 7500億美元以上的
[08:57] 募資規模
[08:58] Spex預估有8000億
[09:00] Entropic預估大概有
[09:02] 3000億美元
[09:02] 任何一家成功掛牌
[09:04] 年度的IPO的籌資規模
[09:06] 都有可能徹底改寫
[09:08] 所以一方面是錢的問題
[09:09] 另外一方面
[09:10] 那到底市場運營給予的估值
[09:13] 到底會有多高
[09:13] 因為我們看美國的IPO金額
[09:16] 在2021年當時衝到高峰以後
[09:18] 22年就幾乎是腰斬腰斬腰斬再腰斬的萎縮
[09:22] 這幾年上市公司加速只是慢慢的回來而已
[09:25] 24年25年慢慢的修復
[09:27] 可是距離2021年那種QE海量寬鬆的那種IPO的浪潮
[09:32] 比較起來還是差很多
[09:34] 所以如果把SPEX OpenAI Entropy給拉回來
[09:38] 選擇上市就算加速不多
[09:40] 今年看起來募資金額都有機會大幅的推高
[09:43] 所以錢的問題是一項
[09:45] 估值的問題又是另外一項
[09:46] 這個是另外一個戰場
[09:48] 也就是非刺激市場的交易
[09:50] 當然過去我們看到
[09:51] Given Becker其實也提到
[09:53] 整個AI的投資神話
[09:55] 最終還是有一定標準來去檢視的
[09:58] 多數投資人看AI的方式
[10:00] 其實有很大的問題
[10:01] 用免費模型
[10:02] 或者低階的體驗來下結論
[10:04] 就好像10歲的小孩
[10:06] 能力去猜35歲能夠做到什麼
[10:08] 他認為我們要判斷前沿模型
[10:10] 應該用最高的付費版本
[10:13] 先去使用看看
[10:14] 然後開始推論出
[10:15] 今年會有什麼樣的產品
[10:16] 陸續的推出來
[10:18] 那他的看法也是認為
[10:19] 目前整個26年
[10:20] 開始取決於各大語言模型
[10:23] 它的成本和結果
