[00:00] 投资品欢迎收听早晨财经因素解读
[00:03] 每天早上开盘前半小时
[00:04] 我们在这边陪伴着各位一起解读
[00:06] 国际财经新闻时事变化
[00:08] 那美欧股市在昨天虽然稍微止跌反弹
[00:11] 不过看得出来市场上整体卖压
[00:14] 应该讲还是有点卖压
[00:15] 涨跌互见
[00:16] 软体股的部分市场上看起来
[00:20] 卖压还算是没有这么沉重
[00:22] 但是针对硬体股的部分
[00:23] 过去涨高的非半
[00:25] 现在反而有一点拉回了
[00:26] 那我们今天要观察的几大方向
[00:28] 一方面就是随着原油价格的持续上涨
[00:31] 是否会倾老投资人的信心
[00:34] 毕竟原油价格
[00:35] 不管是西德州还是布兰特原油
[00:37] 陆续突破80美元以后
[00:39] 美国十年级公债自利率也开始大幅走高
[00:42] 代表的是通膨预期开始重新归来了
[00:45] 那么对于整体伊朗
[00:48] 以及美国所采取的军事行动
[00:49] 现在已经持续到第六天
[00:52] 战事也没有出现显著的降温迹象
[00:54] 一直到昨天为止
[00:56] 荷姆兹海峡仍然基本上没有任何邮轮通过
[00:59] 根据伊朗军方在昨天的表示
[01:02] 荷姆兹海峡并没有完全的被封锁
[01:04] 只要是俄罗斯和中国邮轮还是可以通过
[01:07] 那在昨天只有一艘邮轮经过荷姆兹海峡
[01:11] 所以航道到目前为止
[01:13] 其实从实质来看并没有完全的关闭
[01:16] 但是基本上也跟关闭没有什么太大两样
[01:19] 就是说市场上很明显
[01:22] 从心理情绪来看
[01:24] 即便川普已经给予了这么多的保证
[01:26] 在昨天仍然没有大量的邮轮
[01:29] 经过荷姆斯海峡
[01:31] 那川普政府已经表示
[01:32] 在本周很快的
[01:34] 针对邮轮提供保险和海军的护航
[01:37] 应该就能够在周末时恢复能源运输
[01:40] 我们就看到时候的情况
[01:41] 不过从油价的大涨看得出来
[01:43] 市场还是有点紧张的
[01:45] 那主要原因还是来自于
[01:46] 因为到目前为止空袭并没有结束
[01:49] 我们看到美国和以色列的战机
[01:51] 还有武装无人机
[01:52] 目前仍然在伊朗多个地下飞弹基地上空持续盘旋
[01:57] 只要发现有飞弹的发射车
[02:00] 从地下洞穴当中驶出准备要发射
[02:03] 就会立即进行打击
[02:04] 同时间美军的重型轰炸机
[02:07] 也针对部分基地投下重型炸弹
[02:09] 试图要把地下设施的入口直接给炸塌
[02:12] 把武器封在地底
[02:14] 那我们从卫星图来看
[02:15] 其实很多被称为飞弹城市的
[02:19] 这些伊朗的地下的基地入口
[02:21] 他已经留下被炸毁的飞弹
[02:23] 和发射车的残骸
[02:25] 从冲突发生以来
[02:26] 现在美军基地
[02:28] 针对波斯湾各大目标
[02:30] 大概已经发射了
[02:31] 500枚的重型飞弹
[02:33] 那大部分呢
[02:34] 应该讲说伊朗针对美国
[02:35] 发射的飞弹有500枚
[02:37] 那美国针对伊朗发射的飞弹
[02:39] 超过2000枚
[02:40] 这几个
[02:41] 应该讲从本周以来
[02:44] 这几天
[02:44] 其实发射数量已经来到
[02:46] 基本上只有双位数值
[02:48] 二三十枚了
[02:49] 所以即便一两还在采取报复性反击
[02:52] 可是从总体战事来看
[02:54] 其实还是在降温的
[02:56] 重点是市场上针对和姆兹海峡的封锁想象空间
[03:00] 是否会因此而释怀
[03:01] 看起来市场上还是很担忧
[03:04] 随着时间线的拖长
[03:05] 对于供给链的冲击就会逐步展现
[03:08] 我们从布兰特原油来看
[03:09] 这一次是大涨了接近有5%
[03:12] 收在85.4块每桶
[03:14] 已经连续第五个交易日上涨了
[03:17] 西德州原油部分上涨6块
[03:19] 上涨幅度更多
[03:20] 8.51%
[03:22] 每桶已经冲高到81块每桶
[03:24] 这个是24年7月份以来的最高水准
[03:27] 油价突破了长期压力之后
[03:29] 大概在一个月到两个月
[03:32] 就会大幅的传导到CPI
[03:34] 现在只是汽油价格的适度联动
[03:36] 幅度还没有这么大
[03:37] 但迟早会传进去
[03:39] 我们从油价的波动率指标
[03:41] OVX
[03:42] 你可以把它理解成石油的VIG指数
[03:45] 现在已经大幅冲高到75
[03:48] 这代表着原油价格市场上已经平均普遍预估
[03:52] 每天至少会有5%左右的剧烈波动
[03:55] 这波动率指标不代表说原油价格一定要涨或跌
[03:58] 而是当日的波动率开始变大
[04:01] 高盛也上调26年二季度的油价预测
[04:03] 预估大概会来到76和71美元
[04:07] 不管是布兰特原油还是七德州原油每桶价格
[04:10] 那其实现在已经超过了在两天前当时给予的目标预测
[04:15] 川普当然也是采取各种手段来压制油价
[04:18] 可是光是消息的释出
[04:21] 但是如果荷姆兹海峡的油轮通过数
[04:24] 没有因此的升高
[04:25] 市场看起来就会反映在油价身上
[04:28] 除了确保航运安全以外
[04:29] 现在政府也在研究其他手段
[04:32] 我们必须要了解
[04:33] 原油价格它是一个高度的政策式
[04:36] 它会被周遭的邻国大幅的影响
[04:40] 尤其是美国和中国是否释放战略原油储备
[04:43] 那现在美国有一个极大对于原油的利空
[04:47] 还没有释出
[04:49] 这是美国政府的战略石油储备
[04:50] 到目前为止仍然没有释放
[04:52] 第二个是川普随时都有可能会放宽燃料混合规定
[04:56] 甚至呢
[04:57] 透过财政部直接在石油期货市场操作来稳定能源价格
[05:01] 你要知道
[05:02] 我们现在对原油价格有无限做多想象空间
[05:05] 本身是跟川普对着
[05:07] 对着他中期选举会大败
[05:09] 那川普随时都有可能
