[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 黃金也基本上在挑戰歷史新高的過程
[00:33] 不管是銅價
[00:34] 錫價
[00:35] 鎳價
[00:35] 全部都在衝高
[00:37] 背後當然有三股力量
[00:38] 一方面是地緣政治的避險
[00:40] 包括伊朗和美國的動向
[00:42] 非常值得密切關注
[00:44] 以及相關的軍事動作
[00:45] 第二呢
[00:46] 是聯準會獨立性的攻擊
[00:48] 到目前為止
[00:49] 全球央行陸續開始表態
[00:51] 全面支援鮑威爾
[00:52] 雖然有部分央行沒有表態
[00:54] 或者被問到
[00:55] 不願意進行表態
[00:56] 像日本央行
[00:57] 這一次反而並沒有特別顯著的表態
[01:00] 但是至少針對聯準會獨立性的存疑
[01:02] 也使得金屬資產的買盤開始狂飆
[01:05] 那第三大方面當然就是結構性的需求
[01:08] 包括去碳化
[01:10] 還有AI拉動工業金屬需求的顯著拉昇
[01:13] 這些都導致市場上開始產生新一輪的獲利回撥
[01:17] 不過呢也不過剛剛開始
[01:19] 到底本輪的金屬狂飆
[01:21] 是不是一定會順應著股市的下跌呢
[01:24] 今天來跟投資朋友做一些觀察
[01:26] 事實上如果我們仔細觀察
[01:28] 2026年一開年
[01:29] 金屬市場就已經進入了暴走模式
[01:32] 我們看黃金白銀銅錫
[01:34] 價格全面創下歷史新高
[01:36] 那背後的推力
[01:37] 其實根本原因
[01:39] 還是因為今年是一個降息格局
[01:41] 如果今年還是升息格局
[01:42] 那肯定對於金屬資產
[01:44] 不會有太大的買盤作用
[01:46] 加上中國金融市場的氣氛回暖
[01:48] 資金就開始大舉的迴流到商品價格
[01:51] 當然其實對金屬資產的價格漲幅
[01:55] 從去年就已經開始了
[01:57] 所以從基期效果而言
[01:59] 多數人的預估都不認為
[02:01] 2026年的漲幅會像25年這麼高
[02:03] 而且呢
[02:04] 如果真的像250這麼高
[02:06] 那麼很快的
[02:07] 這些AI供給建制鏈
[02:09] 很快就會引發市場的囤貨情緒
[02:11] 畢竟如果貴金屬也在缺
[02:14] 大家針對AI的軍備競賽
[02:16] 就有可能遭受到衝擊
[02:17] 那事實上在短期內
[02:19] 市場的投機買盤
[02:20] 有很大程度是來自於中國市場
[02:23] 大量的資金
