[00:00] 投资变换收听早晨财经速解读
[00:04] 现在是台北时间2026年7月1号礼拜三
[00:07] 早上8点31分
[00:08] 大家早上我是邓浩
[00:09] 每天早上开门前半小时
[00:11] 我们在这边陪伴着各位
[00:12] 一起解读国际财经新闻时事变化
[00:15] 下半年到了
[00:16] 事实上美欧股市在上半年的最后一天都还在冲高
[00:20] 道琼指数上涨超过百点
[00:22] 创下收盘的历史新高
[00:24] 那至于其他三大指数
[00:26] 看起来至少从纳指和标普来看
[00:30] 也尝试着在上方做主底
[00:32] W底似乎重新形成
[00:34] 市场的共识再度集合
[00:36] 不过与此同时我们也观察到
[00:38] 在上半年如果是以期剧投来看的话
[00:41] 平均下跌幅度是高达8%
[00:44] 换句话说上半年的确
[00:46] 如果是从指数型相关投资者
[00:49] 不管是投资科技指数还是整个大盘
[00:52] 本身而言
[00:53] 可能半年已经换了好几年的报酬了
[00:55] 但是对于个股投资者而言
[00:57] 其实投资幅度还是很分化的
[01:00] 尤其很多巨头是视为一些长期投资人的重仓配置
[01:05] 这样的一个表现当然会不如人意
[01:08] 那是不是下半年开始有肋骨轮动的空间呢
[01:11] 今天来跟投资朋友做一些观察
[01:13] 也来了解当前市场走到这个地步以后
[01:17] 市场上更进一步聚焦的涨价潮
[01:19] 是否会在稀土层面或者其他领域层面持续的爆发呢
[01:24] 我们看美股市在二季度表现的确格外强劲
[01:27] 标普上半年涨幅是9.6%
[01:29] 其实也还好
[01:30] 因为标普年化涨幅大概是11到12
[01:33] 纳斯达克指数表现比较突出
[01:35] 涨幅是12%
[01:37] 那我们先看昨天的表现
[01:38] 道琼指数上涨136点
[01:40] 0.26%
[01:41] 收在52319点
[01:43] 不算是历史新高
[01:45] 但算是收盘新高了
[01:46] 标普上涨58点
[01:48] 0.79%
[01:49] 收在7499点
[01:51] 上方开始阻底
[01:52] 这一波稍微快要碰到季线
[01:55] 就已经开始做横盘整理
[01:57] 那扎克指数上涨393.1.52%
[02:00] 收在26213点
[02:02] 肺瓣上涨537.3.92%
[02:06] 收到14246点
[02:08] 当然在整个二季度表现
[02:10] 已经写下过去六年来的最亮丽表现
[02:13] 等同于2020年以来
[02:15] 也没有一个季度涨幅这么夸张
[02:17] 那这一波涨幅夸张两个原因
[02:19] 一个是以肺瓣所带动的涨价潮
[02:21] 那另外一大方面来自于
[02:23] 因为三月份把基期显著的拉低了
[02:27] 所以先跳后弹
[02:29] 那个弹幅的空间相对来看就比较亮丽
[02:32] 整个二季度大家猜猜看
[02:34] 肺瓣涨幅是几%
[02:36] 二季度肺瓣居然涨了88%
[02:40] 今年上半年肺瓣涨幅已经高达101%
[02:44] 这远远优于同期纳斯达克指数的28%
[02:47] 和标普白指数的15%
[02:49] 那换句话说
[02:50] 基本上今年记忆体族群成为了最大赢家
[02:53] 美光今年涨幅是高达了300%
[02:56] 市值突破一兆
[02:57] Sandisk上涨是785%
[03:00] Intel因为晶圆代工的转型进展
[03:03] 累计上涨260%
[03:05] 那这个创高的背后市场波动
[03:07] 当然会因此而拉高
[03:08] 不过呢
[03:09] 至少造就了本轮台韩股市的重要显著买盘刺激
[03:13] 正由于现在的资金都在硬体股
[03:16] 都在晶片股
[03:17] 所以导致了台韩股市
[03:19] 是少数在国际股市当中
[03:21] 能够追上本轮的非半行情
[03:23] 要不然你看
[03:24] 其他海外股市
[03:25] 不管是东南亚股市
[03:27] 南美股市
[03:28] 中东股市
[03:29] 或者欧洲股市
[03:30] 本身涨幅都是源源落后给台韩的
[03:33] 台湾市场下半年市场上
[03:35] 当然会聚焦
[03:35] 多快可以尽可能的站上五万点
[03:38] 这一次的V转是否就有机会呢
[03:40] 至少如果我们从上半年的记录
[03:43] 不管是从点位的记录
[03:44] 上半年加权指数涨了17162点
[03:47] 台指期涨了17714点
[03:50] 上市贵市值
[03:51] 应该总体加总高达60.72兆
[03:55] 投信买超3966亿
[03:57] 但是外资却卖了6000亿
[03:59] 成交值是高达118兆
[04:01] 千金股增加了26档
[04:03] 那法人也针对下半年的目标价
[04:06] 开始显著调高
[04:07] 凯基现在反而
[04:08] 过去他一直都是比较乐观的
[04:10] 结果这次未来预估从5万
[04:14] 慢慢的上调到5万5000点左右
[04:16] 不过年底目标价还没有显著的改变
[04:19] 台新是53000点
[04:20] 群翼是53000
[04:22] 高盛511000
[04:23] 宏远50000
[04:24] 国泰世华银50000
[04:27] 摩根大通47000
[04:28] 乐观情境上看50000
[04:30] 所以你就看得出来
[04:31] 是内资比较乐观
[04:32] 外资看起来比较保守一点
[04:34] 可是刚才也提到了
[04:35] 由于在废办层面
[04:37] 几乎是多点开花全面爆发
[04:40] 所以如果有肋骨轮动的空间
[04:41] 那就代表着
[04:42] 很明显那就是七句投售委屈了
[04:44] 但如果还在里头做打赚的话
[04:47] 那我们就要观察
[04:48] 市场上会不会觉得
[04:49] 费办的机器已经严重过高
[04:51] 一个季度涨88%
[04:53] 有没有过度估值的投射呢
[04:56] 其实还好
[04:57] 你说怎么会
[04:57] 怎么可能涨了快一倍
[04:59] 结果他的本益比没有失真呢
[05:01] 如果我们细看
[05:02] 费办目前年底的前瞻本益比
[05:04] 仍然只有26倍
[05:06] 这个26倍
[05:07] 当然是比过去10年的平均值来的高
[05:09] 但是现在全球股市
[05:11] 哪一个股市比全球
[05:13] 过去十年平均值来得低的
[05:14] 没有嘛
[05:15] 这是牛市嘛
[05:16] 但是呢
[05:17] 也没有到2024年30倍的高点
[05:19] 说明的事情是
[05:20] 即便费办已经涨得这么夸张
[05:23] 它的本益比都没有创新高
[05:25] 它已经股价创新高多久了
[05:27] 那它的基期并没有创新高
[05:29] 根本原因就来自于
[05:30] 它是目前在卖产值的企业当中
[05:32] 获利营收拉回幅度来得最快的
[05:35] 这也可以合理的去推估
[05:37] 为什么市场上
[05:38] 对于七巨头的评价就没那么高了
[05:40] 一个是资金体量的问题
[05:41] 没那么多钱
[05:42] 那第二个问题就是
[05:43] 可是问题在于
[05:44] 这些期巨头
[05:45] 虽然它有稳定的现金流
[05:47] 但它的获利
[05:48] 没办法像废办一样爆发
[05:50] 它无法像废办一样爆发
[05:52] 它的本益比回调幅度就是有限的
[05:54] 只能慢慢等它滑落
[05:56] 不过现在滑落
[05:57] 其实也来到市场过去的均值底下了
[06:00] 我们事实上如果仔细观察
[06:02] AI投资风格的转换
[06:03] 这几个月资金开始从花钱的人
[06:06] 转向赚钱的人
[06:07] 以苹果、微软、Alphabet
[06:09] 亚马逊Meta和特斯拉
[06:11] 辉达所组成的七巨头
[06:12] 6月份就已经蒸发2.3兆
[06:15] 单月跌幅是10%
[06:16] 今年上半年
[06:18] 整体平均下跌幅度
[06:19] 是5到8%
[06:20] 最近稍微回涨
[06:22] 所以大概是跌5%
[06:23] 所以你说对于费班
[06:25] 或者对于纳指
[06:26] 像费班就是很标准的
[06:29] 昨天我们提到叫前V
[06:30] 碰月线马上弹
[06:32] 有些指数它是碰快要到季线
[06:35] 像升V像纳斯达克指数
[06:37] 或者说费班
[06:38] 三月份也算是一种升V
[06:39] 所以有时候是浅V
[06:41] 有时候是升V
[06:42] 但是七巨头
[06:43] 那个就是AV
[06:45] 因为还在A
