[00:00] 投资品欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年3月12号礼拜四
[00:06] 早上8点35分
[00:07] 大家早上好我是林浩
[00:08] 每天早上开门间半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 刚刚看棒球稍微晚了几分钟不好意思
[00:15] 那我们后续要观察的几大效果
[00:18] 中东战火的推升油价
[00:20] 川普所释放的战略原油储备
[00:23] 到底是否视为原油价格最后一波的杀手键
[00:27] 还是说这一波对于原油价格的利空
[00:31] 如果一旦释出以后
[00:32] 他接下来就没有更进一步的手段
[00:34] 可以来进行对于原油价格的抑制了
[00:37] 今天来跟投资朋友做一些观察
[00:40] 那对今天网络好像怪怪的
[00:42] 刚才一直在check网络了
[00:44] 所以如果后续网络不太OK的话
[00:46] 我们再跟投资朋友
[00:48] 用原影片档来跟投资朋友做一些追踪
[00:51] 那我们先观察这一波中东战争
[00:54] AI技术的冲击
[00:56] 和现代市场的压力
[00:57] 它同时在冲击全球的金融市场
[01:00] 使投资人也面临前所未见的复合风险
[01:03] 因为市场上原油价格
[01:06] 现在即便伊朗战事已经相对白热化
[01:10] 但原油价格在昨天又再度冲高
[01:12] 这一次原油价格又重新回到
[01:14] 87和89美桶
[01:16] 从西德州原油和布兰特原油来看
[01:18] 那VIC指数虽然从高档
[01:21] 稍微有一点回调
[01:22] 不过呢情绪的恐慌卖压
[01:25] 没有完全反映在股票市场身上
[01:27] 通膨的预期也没有因此而改变
[01:29] 股市呢只是尝试着去阻底震荡
[01:32] 那美国私人信贷的风险的违约率
[01:34] 目前也在缓步的上升
[01:36] 垃圾在利差的扩大
[01:38] 也显示出目前资金的压力
[01:41] 似乎慢慢的浮现
[01:42] 那么油价的飙升呢
[01:44] 它也会冲击到川普战争的政治算盘
[01:47] 我们知道川普对外所采取的战事
[01:50] 他一定要有足够的民意支撑
[01:52] 才有利于终极选举
[01:53] 回顾他过去几个月所做的事情
[01:56] 考量到美国加油站的油价
[01:58] 从之前战争前
[02:00] 每加仑大概是2.9美元
[02:02] 现在已经到3.5美元了
[02:05] 创下川普任内的新高
[02:07] 那当然了
[02:08] 拿来跟22年和23年比较起来
[02:10] 其实有一段落差
[02:12] 拜登时期的石油价格
[02:14] 汽油价格还是比较严重一点
[02:16] 但是呢
[02:16] 川普在这段时间
[02:18] 伊朗战事的确已经导致了
[02:20] 他在一年多以来的汽油价格的创高
[02:23] 如果一路创高到中期选举
[02:25] 那市场的压力就来了
[02:26] 那川普政府目前当然也试图
[02:28] 透过多种方式来压制油价
[02:31] 包括考虑放宽部分的石油制裁
[02:33] 派遣美军来护送油轮
[02:35] 或者在必要时加强针对伊朗的军事打击
[02:39] 快速的结束本次的伊朗战事
[02:41] 尤其在昨天
[02:43] 最意外的就是美国正式释出了
[02:45] 1.72亿桶的战略石油储备
[02:48] 以因应伊朗战争而飙升的油价和汽油价格
[02:52] 能源部表示
[02:53] 这批石油会在未来的120天内逐步的释出
[02:56] 来自美国战略石油储备库
[02:58] 那当然这也是国际能源署协调行动的一环
[03:01] 事实上从这件事情就看得出来
[03:03] 川普很急
[03:05] 因为美国的战略石油储备目前处于疫情前的低水准
[03:09] 而且远远低于21世纪的平均线
[03:12] 什么意思
[03:12] 那过去原油价格明明已经跌这么多了
[03:15] 他好像也没有尝试的做回补
[03:17] 美国长期的储备量
[03:19] 大概在6亿桶到7亿桶左右
[03:21] 那2022年之后
[03:23] 为了要抑制能源通膨和油价飙升
[03:25] 美国政府是释放了大量的储备
[03:27] 使库存一路跌到3亿桶
[03:29] 可是现在呢
[03:30] 也不过回到4亿桶的关卡
[03:33] 从这件事情其实就看得出来
[03:35] 即便美国的战略用户库存已经不高了
[03:39] 川普还是愿意进行释放
[03:40] 足以彰显他对于通膨的重视
[03:43] 当然了
[03:44] 他的库存已经不多了
[03:45] 如果接下来库存又往下掉
[03:48] 然后海外市场又产生变因的话
[03:50] 那美国内部的石油情况
[03:53] 的确就会相对比较危急一点
[03:55] 市场可能就来得更加紧张
[03:56] 所以它是抑制油价的一个手段
[03:58] 可是如果无法成功的抑制住
[04:00] 那对于市场的冲击和压力
[04:02] 可能就会因此浮现
[04:04] 因为美国的战略原油储备
[04:05] 其实看起来并不高啊
[04:07] 日本也是如此
[04:08] 日本高市早苗正式表态
[04:10] 将单方面的释放部分的战略石油储备
[04:14] 从3月16号开始正式执行
[04:16] 首先呢
[04:17] 根据计划
[04:18] 日本会先释出相当15天
[04:20] 国内石油需求的民间储备
[04:22] 同时间呢
[04:23] 也会动用一个月的用量的国家战略储备
[04:26] 那这段时间呢
[04:28] 因为荷姆斯海峡已经进入停摆
[04:31] 我们再给川普一周到两周的时间
[04:34] 看起来是亚洲经济体的观察重点
[04:37] 因为亚洲经济体看起来只能延长
[04:39] 它不像是其他欧美经济体啊
[04:41] 石油战略储备规模来的这么多
[04:44] 可是日本政府的释放谈话
[04:46] 也意味着各国政府其实都非常担心
[04:49] 这一次的通膨形成恒久性的僵固性
[04:52] 事实上我们看到这次主要是国际能源署IEA
[04:55] 把成员国进行协调之后联合起来
[04:59] 一共会释放四亿桶的战略石油储备
[05:02] 这是欧美政府为主的进行战略油储备释放的重要关键
[05:07] 因为这次释放的规模其实蛮大的
[05:09] 四亿桶
[05:10] 这个比2022年乌俄战事所释放的1.8亿桶还要来得多
[05:15] 那这项行动主要也是因为荷姆斯海峡现在已经关闭了
[05:18] 也不确定何时会能够结束
[05:20] 所以就目前来看
[05:22] 这个日本的话先释出15天
[05:24] 预估最后会来到45天
[05:26] 德国和其他欧洲国家也表示会跟进
[05:29] 那像是法国意大利
[05:31] 根据法律要求
[05:32] 大概都是接近45天到90天左右的进口量进行冲销
[05:37] 英国的部分有6800万桶的原油
[05:39] 随时准备进行释放
[05:41] 那加拿大呢
[05:42] 他没有特定的战略石油出备的要求
[05:44] 原因来自于他是石油进出口国
[05:46] 他只要把原本要出口的
[05:48] 拿来先内部进行价格压制就可以了
