[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是远远比不上革命卫队
[00:31] 不过呢
[00:32] 至少整体停火讯号陆续出现
[00:34] 在昨天
[00:35] 美债价格出现了急升
[00:37] 金价受到显著的资金带动
[00:39] 另外一方面
[00:40] 油价开始回跌
[00:42] 重点是
[00:43] 标普白指数
[00:43] 昨天大涨了2.9%
[00:45] 道琼指数
[00:46] 昨天飙涨了1100点
[00:48] 纳斯达克指数表现也强势
[00:50] 涨了3.83%
[00:51] 三大股指都创下了
[00:53] 25年5月份以来的
[00:55] 最大单日涨幅
[00:56] 那回过头来看
[00:58] 剧本
[00:59] 感觉好像已经写好了
[01:00] 市场上看起来对于停火的预期
[01:03] 不断的提升
[01:04] 可是呢
[01:05] 他是否会随着
[01:06] 不管是清明廉价
[01:08] 还是礼拜五复活节廉价
[01:10] 还是充满着极大军事动作的不确定性
[01:13] 大家都想说
[01:15] 会不会今天晚上
[01:16] 没有股市也是愚人节
[01:17] 4月1号
[01:18] 川普就拿着你股票亏掉的钱回来
[01:21] 跟你说一声愚人节快乐
[01:23] 把钱还给你
[01:24] 真的只是一场空吗
[01:27] 我们今天要来跟投资朋友
[01:28] 多做一些留意
[01:29] 毕竟川普这一次所释出的看法
[01:31] 仍然是两到三周内结束战事
[01:34] 也不是今天结束
[01:35] 短期内对于市场是利多
[01:37] 因为他直接打在目前最核心的不确定性
[01:40] 地缘政治和油价身上
[01:42] 可是市场上即便更深一层来看
[01:45] 真正的风险还在战后格局
[01:47] 川普已经明确表态了
[01:49] 这一次荷姆茨海峡的安全
[01:51] 已经不再由美国来主导
[01:53] 等于把全球的能源命脉
[01:55] 重新丢回给区域的自行负责
[01:58] 那就很快会迎来在战后世界的权力真空
[02:01] 那这个权力真空是
[02:03] 以后我们过河母子海峡
[02:05] 都要缴200万的保护费吗
[02:07] 还是说会由其他霸权来争夺呢
[02:10] 不管是中国俄罗斯还是欧洲国家
[02:13] 那这会带来两个后果
[02:15] 第一能源供应的风险溢价
[02:17] 好像也不是完全消失
[02:19] 这股价涨成这样
[02:20] 油价的回跌幅度也没有想象中来得多
[02:23] 那第二全球秩序出现裂痕
[02:25] 美国从原本的单旗安全体系
[02:28] 看起来转往更为分散
[02:30] 更为不稳定的格局
[02:31] 那对于投资人来说
[02:32] 短期肯定可以反弹
[02:34] 但中期的逻辑
[02:35] 油价是不是一定会暴跌呢
[02:37] 跌不跌得到战前的水准
[02:39] 跌不跌得到一月份的水准呢
[02:41] 事实上我们看到
[02:42] 川普在昨天
[02:43] 直接在出社交上表明
[02:45] 而且公开批评
[02:46] 英国首相施凯尔
[02:48] 认为双方在外交和军事层面的互动
[02:50] 变得更加紧张
[02:52] 他虽然在里头提到说
[02:53] 我们现在呢
[02:54] 第一你要买石油
[02:56] 买不到的话可以向美国来购买
[02:58] 第二拿出点迟来的勇气吧
[03:01] 你们自己前往海峡
[03:02] 为自己而战
[03:03] 美国不会再帮你了
[03:05] 所以伊朗呢
[03:06] 他认为已经被我们打垮了
[03:08] 最困难的部分已经结束了
[03:09] 去拿你们自己的石油吧
[03:11] 这川普在学海贼王
[03:13] 想要我的石油吗
[03:14] 想要的话可以全部给你去找吧
[03:16] 我把石油都放在那里了
[03:18] 另外一方面
[03:18] 他也发了另外一条推文
[03:20] 来描述说法国这个国家
[03:22] 不允许再有军事补给
[03:24] 前往以色列的飞机飞越其领空
[03:26] 那法国的态度非常不配合
[03:28] 那美国会记住这一切
[03:30] 什么意思呢
[03:31] 就是我们看到川普这一次对于中东战事
[03:34] 虽然最终是逐步达到停火或者退场的条件
[03:38] 但本人并不是特别的开心
[03:40] 代表的接下来的全力真空
[03:43] 是大家非常值得留意的
[03:45] 荷姆兹海峡在昨天
[03:47] 其实船舶的通行量已经开始小幅回升了
[03:50] 本质上他现在还是高度管制的状态
[03:53] 因为川普要撤军
[03:54] 他也不是一天撤军
[03:55] 他也是分两周到三周
[03:57] 而且撤军他不是军事基地撤掉
[04:00] 只是过去可能集结的海军陆战队
[04:03] 和第82空降师陆续离开
[04:05] 现在每周双向通行的船只
[04:08] 大概是从5艘增加到7艘
[04:11] 还是很低
[04:12] 而且这些船都要经过伊朗的批准
[04:15] 才能够通过
[04:16] 换句话说
[04:17] 他也不是说单纯现在已经恢复了航运
[04:20] 而是选择性放行的船只
[04:23] 看起来变得越来越多了
[04:24] 这也就说明了
[04:25] 供应并没有完全的恢复
[04:27] 也不能说现在算是全面封锁
[04:30] 但是至少整体信号
[04:32] 往打开的方向走
[04:34] 所以今天我们就从几个角度
[04:35] 来做观察
[04:36] 第一就是停火的讯号开始浮现
[04:38] 从伊朗总统到川普
[04:41] 所释出两周到三周内
[04:42] 结束战事的说法
[04:44] 市场用股价的反弹来表示
[04:46] 但问题是
[04:47] 这一场战争的核心
[04:48] 已经从会不会停火
[04:49] 变成油价是不是已经外溢出去了
[04:52] 那油价三月份已经涨了嘛
[04:54] 你4月1号才释出这种停火显著的讯号
[04:57] 那就说明着
