[00:00] 歡迎收聽谷外,我是孟公,本期節目由英國TravelBlue贊助
[00:03] 出國最累的其實不是飛行時間長,而是你在機上到底睡得好不好
[00:08] 帶隊警診睡眠品質直接拉滿,帶錯或是忘記帶,落地就是爆炸類,旅程第一天直接報廢
[00:14] TravelBlue旅行all in one組,把你出國前最容易漏帶,但是在飛機上超重要的書面神器一次準備好
[00:21] 裡面那顆豪華警診特別值得講,它是全球機場銷售第一,而且連續兩屆拿下全球最佳旅遊配件的得獎警診
[00:29] 包覆性強
[00:30] 支撐力好
[00:31] 睡起來穩
[00:31] 我自己回孃家一定會隨身攜帶
[00:33] 長途旅行用它睡一覺
[00:35] 落地精神真的差很多
[00:37] 如果說接下來你有旅遊計劃
[00:38] 或是交換禮物
[00:39] 想要送到對方的新凱里
[00:41] 這一組真的是很適合
[00:42] 原價3999
[00:43] 主位限時特價只要1599
[00:46] 現在購買還加證
[00:47] 古埃專屬的聯名收納袋
[00:49] 限量1000個
[00:50] 諮詢鏈連結點下去就能夠入手
[00:52] 書面神器整組帶走
[00:53] 優惠只有到12月23號
[00:55] 有需要的朋友可以在我們資訊欄這邊找到更多的說明與連結
[00:57] 好那回到臺灣心情蠻好的
[00:59] 雖然過沒幾個禮拜
[01:01] 我又要再一次去歐洲long stay
[01:03] 又要再一次陪老婆回孃家
[01:05] 那其實每次想到要出國
[01:06] 就覺得心情是蠻鬱悶的
[01:08] 就其實是不太喜歡出去
[01:09] 終究是一個宅男
[01:10] 然後再來我自己有想通有一個原因
[01:13] 就是為什麼我對出國
[01:14] 其實不會這麼興奮的一個主因子
[01:15] 特別是跑去歐洲的話
[01:16] 然後又因為很常要跑那邊
[01:19] 就知道說每次去那裡就一定會生病
[01:21] 就類似像現在這樣子
[01:22] 就是鼻腔會很不舒服
[01:24] 你醒出來鼻涕就有血之類的
[01:25] 後來才知道說
[01:26] 那可能是因為鼻腔過於乾燥
[01:28] 在臺灣平常那種氣候變換的時候
[01:30] 我們就已經是咳到要死掉那種過敏剤
[01:33] 何況是你突然間從一個
[01:35] 就北臺灣來講
[01:35] 大概整體的溼度都維持在七八十以上
[01:38] 常年都這樣的一個狀態
[01:40] 雖然家裡我們是讓它維持在四十幾的溼度
[01:42] 只是就是說
[01:43] 你瞬間從一個很溼的地方
[01:45] 跑到一個超乾的地方
[01:46] 可能就對我們這種過敏剤來說
[01:48] 就只有機會會生病
[01:49] 那它不只是什麼過敏
[01:50] 鼻子癢咳嗽之類
[01:52] 甚至會嚴重成為發燒
[01:53] 就是可能
[01:54] 像我在網上查到
[01:55] 說你因為鼻腔乾燥的話
[01:57] 有些病毒容易跑進去
[01:58] 所以每次就知道說
[01:59] 反正我去
[01:59] 我就一定要生病一趟
[02:00] 所以你就會覺得
[02:02] 就是從心裡面
[02:03] 就會發自內心的反感
