[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 多次强调价格稳定的使命之后
[00:32] 也引发了市场重新评估当前的货币政策前进
[00:36] 美国股市是受到一定程度的卖压
[00:39] 虽然后续买盘又开始追上来
[00:41] 不过至少可以肯定的事情是
[00:43] 本届联准会基本还是保持着一定的中立性的
[00:47] 事实上我们了解
[00:48] 虽然美国股市全职股遭受到卖压非常沉重
[00:51] 但是仍然竞赢在目前的IPO行情当中
[00:55] 虽然上周五挂牌的SpaceX上市后首度手叠
[00:59] 也引发了市场进一步的市场偏好打击
[01:02] 不过呢
[01:03] 现在它的市值是2.96兆啊
[01:05] 短短一周募集这么多的资金和市场买盘
[01:08] 还是足以证明的
[01:10] 其实更类似于市场在情绪高度推升以后
[01:14] 适度的均值回调
[01:15] 那这个是我们就要回过头看
[01:17] 到底这一次
[01:18] 为期两天的货币政策会议结束之后啊
[01:21] 市场给予的氛围和论调为何
[01:23] 这一次联邦资金利率目标区间
[01:26] 维持在3.5到3.75%不变
[01:29] 决议是以12比0全票通过
[01:32] 那这次联准会继今年1月3月4月之后
[01:35] 连续第四次的按兵不动
[01:37] 也是华旭接任主席后首次的主持会议
[01:40] 那跟前面几次分歧明显不同的地方在于
[01:44] 本次决议其实是获得全体一致支持的
[01:47] 我们前阵子还看到
[01:48] 尤其米兰还在的时候
[01:50] 那个投票永远都反着做
[01:52] 反正就是跟他的想法都不太一样
[01:54] 内部共识很难做集体达成
[01:56] 我们当然知道从点阵度角度
[01:58] 大家对于利率预期的分歧不同
[02:00] 可是正常来说
[02:01] 在过去鲍尔的统和底下
[02:04] 至少针对当下
[02:05] 就这个月我们要保持在什么样的利率
[02:07] 会有一致的一个想法和意见
[02:10] 可是在过去一年当中
[02:12] 你看到内部分歧其实越来越剧烈的
[02:14] 那华许这一次在记者会上宣称
[02:16] FONC利率决策会议
[02:18] 已经明显立场明确一致
[02:21] 本委员会会实现价格稳定
[02:23] 某种程度就是有种放音
[02:25] 我们必须要抑制住当前的物价上涨
[02:27] 从点证图的转移来看
[02:29] 18位的官员当中
[02:31] 有9位预估在2026年年底会至少升息一次
[02:35] 有6位甚至预估要升息两次
[02:38] 那值得注意的事情是
[02:40] 华许证实自己是点证图当中缺席的那一位
[02:43] 你有没有发现少了一个官员呢
[02:45] 他援引一贯立场
[02:47] 他认为我是无意去提交个人的利率预测
[02:50] 我们过去已经提过了
[02:52] 华许之前还曾经想过
[02:53] 要不要干脆连点证图都不要交了
[02:56] 要不然每一次我们自己出来
[02:57] 不是打脸自己吗
[02:59] 我们明明知道过了一年以后
[03:00] 到时候的经济政策的变化
[03:02] 也许会大幅打脸我们过去一整年
[03:04] 针对利率预期的看法
[03:05] 反而会降低联准会的威信
[03:07] 所以不如不要公布
[03:09] 我们就针对当前的局势
[03:10] 每个月或每三个月
[03:12] 做一次的具体利率调控就好了
[03:14] 没有必要一天到晚
[03:16] 做一些有的没的前瞻利率指引
[03:18] 与此同时
[03:19] 这次联准会还是公布了
[03:21] 经济和通膨的预测
[03:22] 根据最新的ACP显示
[03:24] 官员预估今年底的核心PCE通膨率大概是3.6%
[03:30] 失业率是4.3%
[03:31] 其实没有差太多
[03:33] 实际GDP增长2.2%
[03:35] GDP的增速较3月预测2.4稍微下调
[03:39] 增长有点放缓
[03:41] 通膨有点粘性
[03:42] 真正比较大剧烈变动的其实还是通膨
[03:45] 很明显目前通膨预期是大幅的进行拉高
[03:48] 尤其在核心通膨领域已经接近到接近4%
[03:52] 相对于上一次的整体预估
[03:54] 基本上还是有蛮大的一个落差
[03:56] 这说明这一两战事
[03:58] 让联准会被迫把今年年底的通膨预期适度拉高
[04:02] 不过呢
[04:02] 也正由于本周正在签署中东会议
[04:06] 或者我们中东的停战协议
[04:07] 那在未来一段时间
[04:09] 联准会可能下个月下下个月
[04:11] 也会适度的改口
[04:13] 这是意料中的事情
[04:14] 总结来说
[04:15] 这次联准会明显的有一点偏阴
[04:19] 但是也不急着要立即马上升息
[04:21] 也许在未来
[04:23] 中东签署协议
[04:24] 油价快速回跌以后
[04:25] 那种外溢的通膨受到收敛
[04:28] 也许就没有那么积极的
[04:29] 必须要在年底之前
[04:30] 至少升息一码了
[04:32] 那从经济预测来看
[04:33] 人总会当然现在也没有
[04:34] 立即需要救经济的地步
[04:36] 成长预期还保持在高位
[04:38] 失业率也在保持稳定
[04:40] 目前的就业职位
[04:42] 其实也没有什么太大的变动
[04:44] 所以我们如果回过头来看
[04:46] 现在其实美国经济
[04:48] 并没有什么太大的坏消息
[04:49] 那通膨的问题也在好转
[04:51] 所以虽然现在有升息或者紧缩
[04:54] 或者放音的态势
[04:55] 但是我个人的看法
[04:57] 只要不再打一场战争
[05:00] 在年底之前
[05:01] 升息预期是有机会能够收敛的
[05:04] 其实这一次大家最为关注的
[05:06] 是属于政策声明的改头换面
[05:08] 这次更短更简单
[05:10] 而且拿掉前瞻指引了
[05:11] 华许是直接表示
[05:13] 领导层本来是重新确认使命
[05:15] 重新检视做法的好时机
[05:17] 他还预告今天的政策声明
[05:19] 已经不一样
[05:20] 他把它变得更短一点
[05:21] 更简单一点
[05:22] 拿掉了过去那些老措辞
[05:25] 更受瞩目的就是
[05:26] 我们过去讲的forward guidance
[05:28] 就是那份声明
[05:29] 前瞻指引
[05:30] 其实已经没有必要
[05:32] 做大幅度的澄清
[05:34] 基本上这算是对于联总会
[05:36] 内部一种大刀阔斧
[05:37] 就最新的声明
[05:38] 只有130个字左右
[05:40] 远远低于在4月份
[05:43] 我们看到的341字
[05:45] 删除了这之前
[05:46] 暗示宽松倾向前瞻指引的措辞
[05:49] 而且华许还宣布将会组建五个工作组
[05:52] 分别去评估货币政策的操作
[05:55] 沟通的机制
[05:56] 数据来源
[05:57] 生产率
[05:57] 还有劳动力市场
[05:59] 以及通膨成因
[06:00] 预估在今年秋季之前就能够顺势的完成
[06:03] 所以联总会新主席
[06:04] 这一次很明显
[06:06] 虽然并没有特别做
[06:08] 不管是鸽派还是鹰派的显著表态
[06:11] 他只是保持要价格稳定
[06:12] 但他有一个事情是确认的
[06:14] 就是想要让联总会少说话
[06:16] 所以少说话这件事情
[06:18] 能不能让市场意识到
