[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由雨伞王赞助
[00:03] 投资最怕什么?不是股票跌,而是买到那种看起来很便宜的股票
[00:07] 结果买了一直跌一直坏掉,一直跌一直坏掉
[00:10] 其实雨伞也是,很多人买伞都只看价格
[00:13] 结果一年买三支五支,最后花的更多
[00:16] 雨伞王算是少数把雨伞当成耐用品在做的品牌
[00:20] 全台超过33间门市,最大的特色是终身免费维修服务
[00:24] 融资断头你只能被迫出厂
[00:26] 雨伞断头还可以找雨伞王维修进场
[00:29] 真的是很幸福
[00:30] 最近台股创新高
[00:31] 股市超热
[00:32] 天气更热
[00:33] 太阳超毒
[00:34] 中国交流区替补真的会挂掉
[00:36] 所以大家一定要做好防晒
[00:37] 结果雨伞王最近为了提高本益比
[00:40] 也跨界转型
[00:41] 推出了遮阳
[00:42] 挡雨
[00:42] 降温
[00:43] 保暖的新商品
[00:44] 我觉得真正每天都会用到的科技
[00:46] 其实是防晒
[00:47] 毕竟CPU涨停不一定赚得到
[00:49] 紫外线你每天一定照得到
[00:51] Big Red的降温防晒伞
[00:53] 可以带来降温12度的体感
[00:55] 极轻薄防晒外套
[00:56] 外出防晒透气超舒适
[00:58] 有超帅的Super Thin超薄折叠墨镜
[01:01] 也有为眼镜族准备的套近太阳眼镜
[01:04] 都能够有效保护自己的眼睛
[01:07] 毕竟每天钉盘已经伤眼了
[01:08] 出门至少不要再让太阳补刀
[01:10] 好了大概就是这样
[01:11] 以上所有的商品
[01:13] 报上Mongolchika的名字
[01:14] 都可以享最佳优惠
[01:15] 透过资讯栏古埃专属的链接
[01:17] 输入我们的推荐代码GOOAYE
[01:20] 不限期间享限定商品八九折优惠
[01:24] 单笔消费满999
[01:25] 在想超取免运费
[01:27] 提供给所有需要的朋友们参考
[01:29] 那大概在一两集前
[01:30] 有一位听众在QA跟我讲说
[01:32] 可不可以去全联看一下
[01:34] 有没有自己还蛮喜欢的红酒
[01:37] 或是白酒
[01:37] 来跟大家稍微分享一下
[01:38] 那当然不想让自己感觉
[01:40] 像是一个臭酒鬼
[01:41] 因为我现在正在研究
[01:43] 这个淋浴相关的内容
[01:44] 那自己也买了一个酒柜
[01:47] 那这个酒柜
[01:47] 从以前到现在
[01:48] 一直都是满的状态
[01:49] 就即便是用很高速在消耗了
[01:52] 可是都还是持续有新的东西在补
[01:54] 像我现在我的酒柜就还欠17个空间
[01:58] 这什么意思
[01:58] 就是我后面有17瓶要进来
[01:59] 然后现在是满的
[02:00] 所以我就必须好好再快一点
[02:02] 所以在这样的状况之下
[02:03] 当然就没有办法把每一个都喝完
[02:06] 主要多数的状况就是
[02:07] 我可能就是喝一点
[02:07] 然后其他的分给别人
[02:08] 然后不然就是甚至拿去喂水草
[02:10] 如果没那么喜欢的
[02:11] 就不会强迫自己把它喝掉
[02:12] 因为自己来的目的
[02:14] 并不是要把自己灌醉
[02:15] 而是想去尝骗各式各样的口味
[02:17] 当听众给我这样子的任务的时候
[02:19] 其实我自己也是非常好奇
[02:21] 就在前年可不可以找到有趣的东西
[02:23] 那我相信一定是可以啦
[02:24] 因为像我自己岳母的男朋友呢
[02:26] 他本身在意大利就是去做酒庄的
[02:29] 那他的酒的售价大概就是几百块到千块之间
[02:32] 那他也在意大利呢
[02:34] 好几次都挑出了非常好喝的酒给我们喝
[02:36] 那大概也就是落在几百块到一两千块之间
[02:38] 但是呢这些酒其实到台湾
[02:40] 它的价格都会相对的贵一点啦
[02:43] 那我自己是觉得在台湾这边
[02:44] 目前我自己试下来的一个甜蜜的位置
[02:47] 大概是落在一两千块左右
[02:50] 就是这个是对绝大多数人来说
[02:52] 可能是CP值比较好的一个位置
[02:53] 那当然1000块以下
[02:55] 也是有很多选项
[02:56] 那只是它可能就是喝起来
[02:57] 比较像是水
[02:58] 就是它并没有可能
[02:59] 比较
[03:01] 怎么讲
[03:02] 丰富的尾韵
[03:03] 然后再来就是香味
[03:04] 可能会差强人意
[03:06] 那如果说就算是有香味的
[03:08] 像一些大家非常喜欢的
[03:09] 很常见的那些牌子
[03:11] 我们就不要去点名人家
[03:12] 但是呢
[03:13] 我也是一开始觉得说
[03:14] 这个东西喝起来蛮顺
[03:15] 以前不懂的时候
[03:15] 那可是现在
[03:16] 稍微的去走了一轮的时候
[03:18] 就觉得那个闻起来
[03:19] 是非常的人工的味道
[03:21] 所以就比较不喜欢
[03:23] 那你可能就在1000块以下
[03:24] 就比较有机会去买到这样子的东西
[03:26] 那大概1000块到3000块之间
[03:27] 我觉得就是一个蛮好的甜蜜点这样
[03:30] 那在群联这边呢
[03:31] 不是群联啦
[03:32] 不是8299
[03:33] 全联
[03:33] 全联这里呢
[03:35] 它的馒头酒
[03:36] 大概是落在1000块以下的一个价位
[03:38] 所以呢我就去稍微的试了一下
[03:40] 但因为它的选项是真的蛮多的啦
[03:42] 那我相信每个全联
[03:43] 可能也会有不一样的展示
[03:44] 那所以呢
[03:45] 为了要加速自己的效率
[03:47] 我的做法是
[03:48] 我还是先打开
[03:49] 我自己平常会去使用的一些红酒APP
[03:51] 因为要去管理自己的酒窖
[03:52] 知道里面有什么东西
[03:53] 所以就用那个去扫描了一下酒标
[03:56] 我先筛掉大概就是可能
[03:58] 评分在80分以下的
[03:59] 其实评分在80分以下很难
[04:01] 就代表你可能真的
[04:02] 他妈要烂到一个极限
[04:03] 才在那个位置
[04:04] 当然不是代表说
[04:05] 我们一定要跟着评分去做事情
[04:06] 只是说因为时间是有限的
[04:08] 所以我们先把一些
[04:08] 可能很明显的雷
[04:09] 先把它弄掉之后
[04:10] 剩下的我就去挑我喜欢的
[04:12] 其实我目前最喜欢的是
[04:14] 博根蒂
[04:15] 或者有些人把它称为是布根蒂
[04:16] 我觉得这个是最符合我的口味的
[04:19] 酒味可能是没有这么重
[04:20] 那比较着重在一些
[04:22] 像是一些什么花香草香之类的
[04:24] 这是我比较喜欢的风味
[04:25] 那一开始我刚入坑的时候
[04:27] 因为名气最大的
[04:28] 就是波尔多那几个酒庄
[04:30] 像什么拉菲
[04:30] 你有在看港片的
[04:31] 一定知道82年的拉菲
[04:33] 我家我也有82年的拉菲
[04:34] 我喝完一支
[04:35] 我再买一支
[04:35] 但是一开始喝的时候
[04:37] 是喜欢这些东西
[04:38] 后来我自己觉得
